donor,cell_line,timepoint,pool,celltype,n_cells
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,DA,115
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,Epen1,21
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,FPP,62
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,P_FPP,13
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,Sert,66
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,U_Neur1,11
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,Astro,6
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,DA,103
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,Epen1,79
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,FPP,64
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,P_FPP,4
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,P_Sert,5
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,Sert,126
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,U_Neur1,6
HPSI0114i,HPSI0114i-eipl_1,D11,pool1,FPP,1672
HPSI0114i,HPSI0114i-eipl_1,D11,pool1,NB,228
HPSI0114i,HPSI0114i-eipl_1,D11,pool1,P_FPP,1217
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,DA,51
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,Epen1,657
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,FPP,773
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,P_FPP,115
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,Sert,14
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,U_Neur1,864
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,U_Neur2,117
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,Astro,13277
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,DA,248
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,Epen1,3583
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,Epen2,80
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,FPP,4095
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,P_FPP,2067
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,P_Sert,5
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,Sert,86
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,U_Neur1,2346
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,U_Neur3,148
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,Astro,33
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,DA,67
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,Epen1,62
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,Epen2,4
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,FPP,47
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,P_FPP,6
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,Sert,47
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,U_Neur1,4
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,U_Neur3,13
HPSI0114i,HPSI0114i-kolf_2,D11,pool12,FPP,334
HPSI0114i,HPSI0114i-kolf_2,D11,pool12,NB,16
HPSI0114i,HPSI0114i-kolf_2,D11,pool12,P_FPP,190
