donor,cell_line,timepoint,pool,n_cells
HPSI0114i,HPSI0114i-bezi_3,D30,pool10,288
HPSI0114i,HPSI0114i-bezi_3,D52,pool10,393
HPSI0114i,HPSI0114i-eipl_1,D11,pool1,3117
HPSI0114i,HPSI0114i-eipl_1,D30,pool1,2591
HPSI0114i,HPSI0114i-eipl_1,D52,pool1,25935
HPSI0114i,HPSI0114i-fikt_3,D52,pool14,283
HPSI0114i,HPSI0114i-kolf_2,D11,pool12,540
HPSI0114i,HPSI0114i-kolf_2,D30,pool10,120
HPSI0114i,HPSI0114i-kolf_2,D30,pool12,255
HPSI0114i,HPSI0114i-kolf_2,D52,pool10,243
HPSI0114i,HPSI0114i-kolf_2,D52,pool15,2423
HPSI0114i,HPSI0114i-lexy_2,D30,pool10,247
HPSI0114i,HPSI0114i-lexy_2,D52,pool10,453
HPSI0114i,HPSI0114i-lexy_2,D52,pool17,623
HPSI0114i,HPSI0114i-posc_1,D30,pool10,201
HPSI0114i,HPSI0114i-posc_1,D52,pool10,252
HPSI0114i,HPSI0114i-rozh_4,D52,pool17,545
HPSI0114i,HPSI0114i-vass_1,D52,pool17,230
HPSI0114i,HPSI0114i-wegi_1,D11,pool6,4502
HPSI0114i,HPSI0114i-wegi_1,D11,pool7,225
HPSI0114i,HPSI0114i-wegi_1,D30,pool6,2762
HPSI0114i,HPSI0114i-wegi_1,D30,pool7,617
HPSI0114i,HPSI0114i-wegi_1,D52,pool6,3472
HPSI0114i,HPSI0114i-wegi_1,D52,pool7,511
HPSI0114i,HPSI0114i-zapk_2,D52,pool15,4339
HPSI0115i,HPSI0115i-aion_2,D11,pool4,727
HPSI0115i,HPSI0115i-aion_2,D30,pool4,811
HPSI0115i,HPSI0115i-aion_2,D52,pool4,1159
HPSI0115i,HPSI0115i-aoxv_1,D11,pool8,3433
HPSI0115i,HPSI0115i-aoxv_1,D30,pool8,3051
HPSI0115i,HPSI0115i-aoxv_1,D52,pool8,4009
HPSI0115i,HPSI0115i-bimq_4,D11,pool4,627
HPSI0115i,HPSI0115i-bimq_4,D30,pool4,726
HPSI0115i,HPSI0115i-bimq_4,D52,pool4,2134
HPSI0115i,HPSI0115i-boqx_2,D11,pool12,139
HPSI0115i,HPSI0115i-boqx_2,D11,pool4,144
HPSI0115i,HPSI0115i-boqx_2,D30,pool12,98
HPSI0115i,HPSI0115i-boqx_2,D30,pool4,124
HPSI0115i,HPSI0115i-boqx_2,D52,pool4,263
HPSI0115i,HPSI0115i-gifk_1,D11,pool4,159
HPSI0115i,HPSI0115i-gifk_1,D30,pool4,196
HPSI0115i,HPSI0115i-gifk_1,D52,pool4,386
HPSI0115i,HPSI0115i-gost_2,D11,pool2,3299
HPSI0115i,HPSI0115i-gost_2,D30,pool2,2845
HPSI0115i,HPSI0115i-gost_2,D52,pool2,2390
HPSI0115i,HPSI0115i-hecn_6,D11,pool2,1077
HPSI0115i,HPSI0115i-hecn_6,D11,pool3,718
HPSI0115i,HPSI0115i-hecn_6,D30,pool2,1258
HPSI0115i,HPSI0115i-hecn_6,D30,pool3,414
HPSI0115i,HPSI0115i-hecn_6,D52,pool2,2071
HPSI0115i,HPSI0115i-hecn_6,D52,pool3,1132
HPSI0115i,HPSI0115i-iiyk_2,D11,pool12,464
HPSI0115i,HPSI0115i-iiyk_2,D11,pool5,151
HPSI0115i,HPSI0115i-iiyk_2,D30,pool12,372
HPSI0115i,HPSI0115i-iiyk_2,D30,pool5,189
HPSI0115i,HPSI0115i-iiyk_2,D52,pool5,178
HPSI0115i,HPSI0115i-iuad_2,D11,pool7,191
HPSI0115i,HPSI0115i-iuad_2,D30,pool7,2206
HPSI0115i,HPSI0115i-iuad_2,D52,pool7,4626
HPSI0115i,HPSI0115i-jakt_1,D11,pool2,883
HPSI0115i,HPSI0115i-jakt_1,D30,pool2,2137
HPSI0115i,HPSI0115i-jakt_1,D52,pool2,7130
HPSI0115i,HPSI0115i-jotn_2,D30,pool10,566
HPSI0115i,HPSI0115i-jotn_2,D52,pool10,743
HPSI0115i,HPSI0115i-jotn_2,D52,pool17,1676
HPSI0115i,HPSI0115i-kozf_1,D30,pool10,750
HPSI0115i,HPSI0115i-kozf_1,D52,pool10,1935
HPSI0115i,HPSI0115i-melw_1,D11,pool5,29
HPSI0115i,HPSI0115i-melw_1,D30,pool5,65
HPSI0115i,HPSI0115i-melw_1,D52,pool5,14
HPSI0115i,HPSI0115i-paim_1,D11,pool1,4061
HPSI0115i,HPSI0115i-paim_1,D30,pool1,3918
HPSI0115i,HPSI0115i-paim_1,D52,pool1,21446
HPSI0115i,HPSI0115i-pitg_2,D11,pool5,4
HPSI0115i,HPSI0115i-pitg_2,D30,pool5,36
HPSI0115i,HPSI0115i-pitg_2,D52,pool5,8
HPSI0115i,HPSI0115i-qecv_2,D11,pool5,25
HPSI0115i,HPSI0115i-qecv_2,D30,pool5,34
HPSI0115i,HPSI0115i-qecv_2,D52,pool17,144
HPSI0115i,HPSI0115i-qecv_2,D52,pool5,14
HPSI0115i,HPSI0115i-quze_6,D11,pool9,676
HPSI0115i,HPSI0115i-quze_6,D30,pool9,596
HPSI0115i,HPSI0115i-quze_6,D52,pool9,474
HPSI0115i,HPSI0115i-sehp_2,D11,pool7,285
HPSI0115i,HPSI0115i-sehp_2,D30,pool7,1536
HPSI0115i,HPSI0115i-sehp_2,D52,pool7,1261
HPSI0115i,HPSI0115i-tiku_3,D11,pool9,125
HPSI0115i,HPSI0115i-tiku_3,D30,pool9,211
HPSI0115i,HPSI0115i-tiku_3,D52,pool17,993
HPSI0115i,HPSI0115i-tiku_3,D52,pool9,206
HPSI0115i,HPSI0115i-timk_4,D30,pool10,5838
HPSI0115i,HPSI0115i-timk_4,D52,pool10,11807
HPSI0115i,HPSI0115i-uupc_2,D11,pool7,69
HPSI0115i,HPSI0115i-uupc_2,D30,pool7,186
HPSI0115i,HPSI0115i-uupc_2,D52,pool7,144
HPSI0115i,HPSI0115i-zihe_1,D11,pool6,811
HPSI0115i,HPSI0115i-zihe_1,D30,pool6,169
HPSI0115i,HPSI0115i-zihe_1,D52,pool6,189
HPSI0213i,HPSI0213i-nawk_55,D52,pool14,284
HPSI0214i,HPSI0214i-datg_2,D11,pool9,4200
HPSI0214i,HPSI0214i-datg_2,D30,pool9,2845
HPSI0214i,HPSI0214i-datg_2,D52,pool9,1912
HPSI0214i,HPSI0214i-eiwy_1,D11,pool1,1434
HPSI0214i,HPSI0214i-eiwy_1,D30,pool1,241
HPSI0214i,HPSI0214i-eiwy_1,D52,pool1,830
HPSI0214i,HPSI0214i-feec_2,D11,pool4,870
HPSI0214i,HPSI0214i-feec_2,D11,pool5,321
HPSI0214i,HPSI0214i-feec_2,D30,pool4,702
HPSI0214i,HPSI0214i-feec_2,D30,pool5,192
HPSI0214i,HPSI0214i-feec_2,D52,pool4,1770
HPSI0214i,HPSI0214i-feec_2,D52,pool5,274
HPSI0214i,HPSI0214i-giju_3,D11,pool4,1057
HPSI0214i,HPSI0214i-giju_3,D30,pool4,1735
HPSI0214i,HPSI0214i-giju_3,D52,pool4,2649
HPSI0214i,HPSI0214i-heth_1,D11,pool6,1253
HPSI0214i,HPSI0214i-heth_1,D30,pool6,596
HPSI0214i,HPSI0214i-heth_1,D52,pool16,4286
HPSI0214i,HPSI0214i-heth_1,D52,pool6,797
HPSI0214i,HPSI0214i-kucg_2,D30,pool10,554
HPSI0214i,HPSI0214i-kucg_2,D52,pool10,1039
HPSI0214i,HPSI0214i-pelm_3,D11,pool2,2826
HPSI0214i,HPSI0214i-pelm_3,D11,pool3,2097
HPSI0214i,HPSI0214i-pelm_3,D30,pool2,3765
HPSI0214i,HPSI0214i-pelm_3,D30,pool3,1320
HPSI0214i,HPSI0214i-pelm_3,D52,pool2,6829
HPSI0214i,HPSI0214i-pelm_3,D52,pool3,5729
HPSI0214i,HPSI0214i-poih_2,D11,pool5,6370
HPSI0214i,HPSI0214i-poih_2,D30,pool5,3459
HPSI0214i,HPSI0214i-poih_2,D52,pool5,3564
HPSI0214i,HPSI0214i-rayr_1,D11,pool2,704
HPSI0214i,HPSI0214i-rayr_1,D30,pool2,509
HPSI0214i,HPSI0214i-rayr_1,D52,pool2,458
HPSI0215i,HPSI0215i-deyz_2,D11,pool4,1537
HPSI0215i,HPSI0215i-deyz_2,D30,pool4,6238
HPSI0215i,HPSI0215i-deyz_2,D52,pool4,11467
HPSI0215i,HPSI0215i-fawm_2,D11,pool4,1333
HPSI0215i,HPSI0215i-fawm_2,D30,pool4,956
HPSI0215i,HPSI0215i-fawm_2,D52,pool4,1579
HPSI0215i,HPSI0215i-hipn_1,D11,pool6,1851
HPSI0215i,HPSI0215i-hipn_1,D11,pool7,259
HPSI0215i,HPSI0215i-hipn_1,D30,pool6,519
HPSI0215i,HPSI0215i-hipn_1,D30,pool7,1181
HPSI0215i,HPSI0215i-hipn_1,D52,pool6,712
HPSI0215i,HPSI0215i-hipn_1,D52,pool7,1023
HPSI0215i,HPSI0215i-oilg_1,D11,pool9,2193
HPSI0215i,HPSI0215i-oilg_1,D30,pool9,1539
HPSI0215i,HPSI0215i-oilg_1,D52,pool9,997
HPSI0215i,HPSI0215i-romx_1,D11,pool8,2503
HPSI0215i,HPSI0215i-romx_1,D30,pool8,1421
HPSI0215i,HPSI0215i-romx_1,D52,pool8,2980
HPSI0215i,HPSI0215i-uiao_2,D11,pool7,162
HPSI0215i,HPSI0215i-uiao_2,D30,pool7,1882
HPSI0215i,HPSI0215i-uiao_2,D52,pool7,3837
HPSI0215i,HPSI0215i-yoch_6,D11,pool6,2402
HPSI0215i,HPSI0215i-yoch_6,D30,pool6,1325
HPSI0215i,HPSI0215i-yoch_6,D52,pool6,1242
HPSI0215i,HPSI0215i-zett_5,D11,pool8,2808
HPSI0215i,HPSI0215i-zett_5,D11,pool9,2502
HPSI0215i,HPSI0215i-zett_5,D30,pool8,3790
HPSI0215i,HPSI0215i-zett_5,D30,pool9,3469
HPSI0215i,HPSI0215i-zett_5,D52,pool8,10820
HPSI0215i,HPSI0215i-zett_5,D52,pool9,4017
HPSI0314i,HPSI0314i-bubh_3,D11,pool9,2167
HPSI0314i,HPSI0314i-bubh_3,D30,pool9,1963
HPSI0314i,HPSI0314i-bubh_3,D52,pool9,885
HPSI0314i,HPSI0314i-cuhk_2,D11,pool4,1063
HPSI0314i,HPSI0314i-cuhk_2,D30,pool4,1553
HPSI0314i,HPSI0314i-cuhk_2,D52,pool4,4652
HPSI0314i,HPSI0314i-hoik_1,D11,pool9,1008
HPSI0314i,HPSI0314i-hoik_1,D30,pool9,4065
HPSI0314i,HPSI0314i-hoik_1,D52,pool9,1429
HPSI0314i,HPSI0314i-qaqx_1,D11,pool11,190
HPSI0314i,HPSI0314i-qaqx_1,D11,pool6,657
HPSI0314i,HPSI0314i-qaqx_1,D30,pool11,35
HPSI0314i,HPSI0314i-qaqx_1,D30,pool6,215
HPSI0314i,HPSI0314i-qaqx_1,D52,pool11,242
HPSI0314i,HPSI0314i-qaqx_1,D52,pool6,209
HPSI0314i,HPSI0314i-sojd_3,D11,pool3,1152
HPSI0314i,HPSI0314i-sojd_3,D11,pool4,565
HPSI0314i,HPSI0314i-sojd_3,D30,pool3,713
HPSI0314i,HPSI0314i-sojd_3,D30,pool4,606
HPSI0314i,HPSI0314i-sojd_3,D52,pool3,3926
HPSI0314i,HPSI0314i-sojd_3,D52,pool4,921
HPSI0314i,HPSI0314i-uict_1,D11,pool6,670
HPSI0314i,HPSI0314i-uict_1,D30,pool6,179
HPSI0314i,HPSI0314i-uict_1,D52,pool6,157
HPSI0314i,HPSI0314i-wigw_2,D30,pool10,240
HPSI0314i,HPSI0314i-wigw_2,D52,pool10,148
HPSI0314i,HPSI0314i-xagu_1,D11,pool6,318
HPSI0314i,HPSI0314i-xagu_1,D30,pool6,74
HPSI0314i,HPSI0314i-xagu_1,D52,pool6,54
HPSI0314i,HPSI0314i-xugn_2,D11,pool8,1829
HPSI0314i,HPSI0314i-xugn_2,D30,pool8,1769
HPSI0314i,HPSI0314i-xugn_2,D52,pool8,1884
HPSI0413i,HPSI0413i-corn_1,D30,pool10,64
HPSI0413i,HPSI0413i-corn_1,D52,pool10,110
HPSI0413i,HPSI0413i-coxy_33,D52,pool15,2574
HPSI0413i,HPSI0413i-nudd_1,D30,pool10,469
HPSI0413i,HPSI0413i-nudd_1,D52,pool10,629
HPSI0413i,HPSI0413i-peop_4,D30,pool10,912
HPSI0413i,HPSI0413i-peop_4,D52,pool10,1220
HPSI0413i,HPSI0413i-yotv_2,D30,pool10,395
HPSI0413i,HPSI0413i-yotv_2,D52,pool10,470
HPSI0414i,HPSI0414i-ceik_1,D11,pool4,445
HPSI0414i,HPSI0414i-ceik_1,D30,pool4,340
HPSI0414i,HPSI0414i-ceik_1,D52,pool4,444
HPSI0414i,HPSI0414i-gesg_2,D11,pool9,1061
HPSI0414i,HPSI0414i-gesg_2,D30,pool9,310
HPSI0414i,HPSI0414i-gesg_2,D52,pool9,247
HPSI0414i,HPSI0414i-mita_1,D11,pool6,14640
HPSI0414i,HPSI0414i-mita_1,D30,pool6,13112
HPSI0414i,HPSI0414i-mita_1,D52,pool6,15851
HPSI0414i,HPSI0414i-oaqd_2,D11,pool8,1381
HPSI0414i,HPSI0414i-oaqd_2,D30,pool8,480
HPSI0414i,HPSI0414i-oaqd_2,D52,pool8,682
HPSI0414i,HPSI0414i-sebn_3,D11,pool3,1287
HPSI0414i,HPSI0414i-sebn_3,D30,pool3,836
HPSI0414i,HPSI0414i-sebn_3,D52,pool3,2290
HPSI0414i,HPSI0414i-seru_1,D30,pool7,632
HPSI0414i,HPSI0414i-seru_1,D52,pool7,497
HPSI0414i,HPSI0414i-uawq_2,D11,pool8,1532
HPSI0414i,HPSI0414i-uawq_2,D30,pool8,1853
HPSI0414i,HPSI0414i-uawq_2,D52,pool8,3998
HPSI0414i,HPSI0414i-voqc_2,D52,pool14,234
HPSI0414i,HPSI0414i-xojn_3,D11,pool7,143
HPSI0414i,HPSI0414i-xojn_3,D11,pool8,2177
HPSI0414i,HPSI0414i-xojn_3,D30,pool7,539
HPSI0414i,HPSI0414i-xojn_3,D30,pool8,1048
HPSI0414i,HPSI0414i-xojn_3,D52,pool7,398
HPSI0414i,HPSI0414i-xojn_3,D52,pool8,1488
HPSI0513i,HPSI0513i-aipt_33,D11,pool13,998
HPSI0513i,HPSI0513i-aipt_33,D52,pool13,1355
HPSI0513i,HPSI0513i-debk_9,D30,pool10,700
HPSI0513i,HPSI0513i-debk_9,D52,pool10,789
HPSI0513i,HPSI0513i-dipe_1,D11,pool11,377
HPSI0513i,HPSI0513i-dipe_1,D30,pool11,80
HPSI0513i,HPSI0513i-dipe_1,D52,pool11,957
HPSI0513i,HPSI0513i-dulv_1,D11,pool11,127
HPSI0513i,HPSI0513i-dulv_1,D30,pool11,9
HPSI0513i,HPSI0513i-dulv_1,D52,pool11,167
HPSI0513i,HPSI0513i-fejf_2,D11,pool11,498
HPSI0513i,HPSI0513i-fejf_2,D30,pool11,97
HPSI0513i,HPSI0513i-fejf_2,D52,pool11,954
HPSI0513i,HPSI0513i-giuf_1,D11,pool11,261
HPSI0513i,HPSI0513i-giuf_1,D30,pool11,34
HPSI0513i,HPSI0513i-giuf_1,D52,pool11,180
HPSI0513i,HPSI0513i-momt_2,D11,pool11,1218
HPSI0513i,HPSI0513i-momt_2,D30,pool11,320
