cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0114i-eipl_1,1.0,0.014279238440616501,0.0010312194495844754
HPSI0114i-wegi_1,2.0,0.32859440261172107,0.013798571201700735
HPSI0115i-aion_2,1.0,0.3225806451612903,0.01978931921692114
HPSI0115i-aoxv_1,1.0,0.09125914516750096,0.005650960219460451
HPSI0115i-bimq_4,1.0,0.050100200400801605,0.006905471845095593
HPSI0115i-boqx_2,1.0,0.16428571428571428,0.03131589262970697
HPSI0115i-gifk_1,1.0,0.2571428571428571,0.03303854097118051
HPSI0115i-gost_2,1.0,0.6044821320411872,0.01203375738614778
HPSI0115i-hecn_6,2.0,0.2202868946033737,0.009340817526994491
HPSI0115i-iiyk_2,1.0,0.3504273504273504,0.04410826060778857
HPSI0115i-iuad_2,1.0,0.13358646876078703,0.006320764366461061
HPSI0115i-jakt_1,1.0,0.07279364397680911,0.003806990658911898
HPSI0115i-paim_1,1.0,0.33984375,0.004229071138747021
HPSI0115i-quze_6,1.0,0.07371794871794872,0.014793841055937923
HPSI0115i-sehp_2,1.0,0.7131242740998839,0.015414446509543692
HPSI0115i-tiku_3,1.0,0.06015037593984962,0.020616860793499316
HPSI0115i-uupc_2,1.0,0.48314606741573035,0.05296977566822496
HPSI0115i-zihe_1,1.0,0.009708737864077669,0.009661493117216525
HPSI0214i-datg_2,1.0,0.23996584116140052,0.012479949289797605
HPSI0214i-eiwy_1,1.0,0.11868131868131868,0.015161842162233711
HPSI0214i-feec_2,2.0,0.05886016817190906,0.010211782669889972
HPSI0214i-giju_3,1.0,0.17369727047146402,0.010895644887013799
HPSI0214i-heth_1,1.0,0.020594965675057208,0.006793928684159644
HPSI0214i-pelm_3,2.0,0.18918847649812115,0.004377800320504154
HPSI0214i-poih_2,1.0,0.5590986394557823,0.010237555719750593
HPSI0214i-rayr_1,1.0,0.5501618122977346,0.02830050216182873
HPSI0215i-deyz_2,1.0,0.2507235890014472,0.005829544352592436
HPSI0215i-fawm_2,1.0,0.3054393305439331,0.017201170287974056
HPSI0215i-hipn_1,2.0,0.2769058295964126,0.010999816369495274
