cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0114i-eipl_1,1.0,0.017452402538531277,0.001138219523069257
HPSI0114i-wegi_1,2.0,0.8990788157121742,0.009513988074900637
HPSI0115i-aion_2,1.0,0.6971326164874552,0.01945211617040233
HPSI0115i-aoxv_1,1.0,0.21524836349634194,0.00806492010350325
HPSI0115i-bimq_4,1.0,0.0841683366733467,0.008788543951335624
HPSI0115i-boqx_2,1.0,0.37857142857142856,0.04099260404031233
HPSI0115i-gifk_1,1.0,0.6342857142857142,0.03640779719775701
HPSI0115i-gost_2,1.0,0.7843731072077529,0.010121369346198223
HPSI0115i-hecn_6,2.0,0.3493752593995224,0.011019064371193854
HPSI0115i-iiyk_2,1.0,0.6666666666666666,0.0435813633640409
HPSI0115i-iuad_2,1.0,0.8960994131860546,0.005669083438500116
HPSI0115i-jakt_1,1.0,0.8136139145372557,0.005706407848395967
HPSI0115i-paim_1,1.0,0.6169483418367347,0.004340452934410432
HPSI0115i-quze_6,1.0,0.36538461538461536,0.02726171226920431
HPSI0115i-sehp_2,1.0,0.8048780487804879,0.013505682349158785
HPSI0115i-tiku_3,1.0,0.2932330827067669,0.03947469370312186
HPSI0115i-uupc_2,1.0,0.6741573033707865,0.04968091823711921
HPSI0115i-zihe_1,1.0,0.009708737864077669,0.009661493117216525
HPSI0214i-datg_2,1.0,0.4474807856532878,0.014530562981776782
HPSI0214i-eiwy_1,1.0,0.6505494505494506,0.022352562748037725
HPSI0214i-feec_2,2.0,0.05886016817190906,0.010211782669889972
HPSI0214i-giju_3,1.0,0.7965260545905707,0.011578205294445356
HPSI0214i-heth_1,1.0,0.02745995423340961,0.007817410766444613
HPSI0214i-pelm_3,2.0,0.609007771698127,0.0054737854092366
HPSI0214i-poih_2,1.0,0.7380952380952381,0.009065864847913534
HPSI0214i-rayr_1,1.0,0.7087378640776699,0.02584672921914505
HPSI0215i-deyz_2,1.0,0.5971418234442837,0.006596762051328843
HPSI0215i-fawm_2,1.0,0.793584379358438,0.01511500368498467
HPSI0215i-hipn_1,2.0,0.41518958792156446,0.014114356757064956
HPSI0215i-oilg_1,1.0,0.08293460925039872,0.011013726381295538
HPSI0215i-romx_1,1.0,0.07831646244006393,0.0062013366730245545
HPSI0215i-uiao_2,1.0,0.3361847733105218,0.00976990568542425
