cell_line,donor,n_pools_D11,pool_breakdown_D11,total_n_cells_D11,is_qualifying_138
HPSI0414i-mita_1,HPSI0414i,1,pool6:14640,14640,True
HPSI0514i-fiaj_1,HPSI0514i,2,"pool4:2125, pool5:8321",10446,True
HPSI0214i-poih_2,HPSI0214i,1,pool5:6370,6370,True
HPSI1013i-hiaf_1,HPSI1013i,2,"pool5:980, pool6:4858",5838,True
HPSI0215i-zett_5,HPSI0215i,2,"pool8:2808, pool9:2502",5310,True
HPSI1014i-qayj_4,HPSI1014i,1,pool5:4959,4959,True
HPSI0214i-pelm_3,HPSI0214i,2,"pool2:2826, pool3:2097",4923,True
HPSI0114i-wegi_1,HPSI0114i,2,"pool6:4502, pool7:225",4727,True
HPSI1113i-hayt_3,HPSI1113i,1,pool9:4405,4405,True
HPSI0214i-datg_2,HPSI0214i,1,pool9:4200,4200,True
HPSI0714i-pipw_4,HPSI0714i,1,pool3:4143,4143,True
HPSI0115i-paim_1,HPSI0115i,1,pool1:4061,4061,True
HPSI1014i-tuju_1,HPSI1014i,1,pool6:3701,3701,True
HPSI0914i-ouvb_2,HPSI0914i,2,"pool8:1418, pool9:2210",3628,True
HPSI0115i-aoxv_1,HPSI0115i,1,pool8:3433,3433,True
HPSI0115i-gost_2,HPSI0115i,1,pool2:3299,3299,True
HPSI0614i-liqa_1,HPSI0614i,1,pool1:3190,3190,True
HPSI0614i-puhk_2,HPSI0614i,1,pool9:3128,3128,True
HPSI0614i-miaj_4,HPSI0614i,1,pool8:3123,3123,True
HPSI0114i-eipl_1,HPSI0114i,1,pool1:3117,3117,True
HPSI1014i-eesb_1,HPSI1014i,1,pool4:3057,3057,True
HPSI1014i-sehl_6,HPSI1014i,1,pool6:2881,2881,True
HPSI1014i-quls_2,HPSI1014i,1,pool3:2682,2682,True
HPSI0714i-iudw_1,HPSI0714i,1,pool1:2640,2640,True
HPSI0714i-burb_1,HPSI0714i,2,"pool4:832, pool5:1675",2507,True
HPSI0215i-romx_1,HPSI0215i,1,pool8:2503,2503,True
HPSI0914i-jejf_2,HPSI0914i,1,pool5:2452,2452,True
HPSI0614i-voce_1,HPSI0614i,1,pool6:2430,2430,True
HPSI0215i-yoch_6,HPSI0215i,1,pool6:2402,2402,True
HPSI0414i-xojn_3,HPSI0414i,2,"pool7:143, pool8:2177",2320,True
HPSI1013i-sita_1,HPSI1013i,1,pool8:2309,2309,True
HPSI0514i-tert_1,HPSI0514i,1,pool6:2265,2265,True
HPSI0215i-oilg_1,HPSI0215i,1,pool9:2193,2193,True
HPSI0715i-meue_5,HPSI0715i,2,"pool2:1248, pool3:942",2190,True
HPSI0314i-bubh_3,HPSI0314i,1,pool9:2167,2167,True
HPSI0215i-hipn_1,HPSI0215i,2,"pool6:1851, pool7:259",2110,True
HPSI1013i-woci_1,HPSI1013i,1,pool6:2019,2019,True
HPSI0715i-aowh_2,HPSI0715i,1,pool8:2016,2016,True
HPSI1014i-vils_1,HPSI1014i,1,pool8:2013,2013,True
HPSI0514i-lako_1,HPSI0514i,2,"pool2:1337, pool4:607",1944,True
HPSI1113i-podx_1,HPSI1113i,1,pool1:1940,1940,True
HPSI1213i-hehd_1,HPSI1213i,2,"pool4:1242, pool5:589",1831,True
HPSI0314i-xugn_2,HPSI0314i,1,pool8:1829,1829,True
HPSI1114i-kuul_1,HPSI1114i,2,"pool6:1641, pool7:173",1814,True
HPSI0514i-oupf_6,HPSI0514i,1,pool9:1807,1807,True
HPSI0115i-hecn_6,HPSI0115i,2,"pool2:1077, pool3:718",1795,True
HPSI1014i-babz_3,HPSI1014i,1,pool8:1744,1744,True
HPSI1113i-vuud_2,HPSI1113i,1,pool5:1722,1722,True
HPSI0314i-sojd_3,HPSI0314i,2,"pool3:1152, pool4:565",1717,True
HPSI0614i-lirf_5,HPSI0614i,1,pool5:1667,1667,True
HPSI0914i-suop_5,HPSI0914i,1,pool1:1640,1640,True
HPSI0514i-qihv_1,HPSI0514i,1,pool6:1608,1608,True
HPSI0715i-zaie_5,HPSI0715i,1,pool8:1603,1603,True
HPSI0215i-deyz_2,HPSI0215i,1,pool4:1537,1537,True
HPSI0414i-uawq_2,HPSI0414i,1,pool8:1532,1532,True
HPSI1013i-wopl_2,HPSI1013i,1,pool9:1512,1512,True
HPSI0214i-eiwy_1,HPSI0214i,1,pool1:1434,1434,True
HPSI1013i-garx_2,HPSI1013i,1,pool9:1423,1423,True
HPSI0713i-wiol_1,HPSI0713i,1,pool12:1406,1406,False
