gene,gene_index,mean,var
HES4,40,2.640774653293716,12.712510476914447
ISG15,42,0.3811513811090163,1.6447822506570196
MXRA8,66,0.5474348860659579,0.8849578416972688
C1orf222,98,0.00393561804714862,0.007411497031519671
AL589739.1,112,1.3691042776084261e-05,2.2895974979813257e-05
HES5,119,0.008537221486197264,0.016663202347249884
RP3-395M20.12,120,0.08552030509169296,0.20225072929137214
RP13-614K11.2,154,0.0006171796408996984,0.0010913206206949108
NPPB,270,0.06626931880457491,4.50303949878933
DHRS3,279,0.10331388702676304,0.15230499549941637
PRAMEF12,284,0.0015778453607458562,0.02603250966391255
PRAMEF1,285,0.0006608364262761743,0.009177536450321122
PRAMEF2,289,5.4188161768012746e-05,0.00014020772290339003
PRAMEF4,290,1.5832463369989846e-05,3.485869263034214e-05
PRAMEF26,297,2.7239670812608275e-05,8.240618108925553e-05
PRAMEF3,298,9.873915064478387e-06,2.3751731647056955e-05
PRAMEF13,303,0.00013568212283497148,0.0007850569445969902
PRAMEF14,308,1.9037388798337374e-05,3.141263613872883e-05
PRAMEF19,309,1.9747830128956775e-05,9.500692658822782e-05
RP11-344F13.1,317,2.132854947739545e-05,6.016221943373495e-05
CELA2B,329,9.887634582177557e-06,2.3817781571283796e-05
C1orf64,347,0.21054728667282543,0.3121477647187179
NBL1,416,0.061511810222940194,0.11443873409301149
PLA2G2A,423,0.0021363324466815445,0.0573726027676821
PLA2G2D,425,0.0002311140469248621,0.0012794646284759155
LINC01141,434,1.233943394178415e-05,1.968910299375467e-05
CDC42,464,3.091547185610554,6.333571830222631
EPHB2,472,0.2798394333278262,0.4161137640939277
RP11-69E9.1,473,2.5371006737548146e-05,4.568898185131071e-05
HNRNPR,482,3.723720698835906,5.7966477968241055
C1orf213,484,1.355538794507805,2.001402860813443
ID3,490,2.810560335538927,9.755125584902679
CNR2,500,0.0003308094958575788,0.0004912898458231682
STMN1,544,8.114725576248958,41.38788545968062
SH3BGRL3,556,3.2593292838730332,9.12567890841065
CD52,558,0.016535895993147504,0.02481485435465274
HMGN2,564,10.660687376089285,46.39881433841046
SFN,570,0.011139417030998787,0.0427184820235521
IFI6,594,0.04697108584544082,0.074604003649572
EPB41,628,0.409864507449779,0.6404035407493602
FABP3,654,0.08005989935813994,0.2008106351730829
RP11-439L8.4,658,4.2704424391459376e-05,0.00016359211135708206
TINAGL1,660,0.003481194289540943,0.015516214253570847
MARCKSL1,688,9.384542664280467,18.3017745506163
HPCA,704,0.031213932655304314,0.05141551564654188
A3GALT2,714,6.0445582999323e-06,8.901140354850978e-06
CLSPN,744,0.3948634723752222,0.6694726891426663
CDCA8,776,0.5710551826297702,1.3142575879533795
POU3F1,789,0.4140111060349264,0.6546370863182007
RHBDL2,797,0.002009661078278377,0.00555931869514761
NDUFS5,799,7.952107546803873,11.581868881731943
RP11-420K8.1,801,0.00015442698321376896,0.00022938519782676945
SLC2A1,868,4.113344544195848,13.382551943948481
CDC20,878,2.166158584100742,10.937104959059008
ATP6V0B,895,1.8068880696301253,2.6438232058207425
KIF2C,906,0.5119780156930482,1.219181149449681
PLK3,910,0.2390349880694249,0.4242879393218451
PRDX1,924,8.563817577517312,20.157064382317017
NASP,926,2.4489723235285665,4.51737164806951
UQCRH,941,11.800388369016883,17.081915047036716
