cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0114i-eipl_1,1.0,0.012878349720454983,0.0007001197349724987
HPSI0114i-wegi_1,2.0,0.897597610630642,0.007429733261464418
HPSI0115i-aion_2,1.0,0.7118205349439172,0.013303779976776085
HPSI0115i-aoxv_1,1.0,0.22125218258917437,0.006555777039668076
HPSI0115i-bimq_4,1.0,0.08762886597938144,0.00612085591601266
HPSI0115i-boqx_2,1.0,0.4068441064638783,0.030291485050059404
HPSI0115i-gifk_1,1.0,0.582901554404145,0.02509708260182321
HPSI0115i-gost_2,1.0,0.7832635983263598,0.008427930598237272
HPSI0115i-hecn_6,2.0,0.3422711924558048,0.008808966346843174
HPSI0115i-iiyk_2,1.0,0.6067415730337079,0.03661262726442715
HPSI0115i-iuad_2,1.0,0.8884565499351491,0.00462846857146167
HPSI0115i-jakt_1,1.0,0.8067321178120617,0.004676271874036591
HPSI0115i-melw_1,1.0,0.42857142857142855,0.13226001425322162
HPSI0115i-paim_1,1.0,0.539401286953278,0.003403644541735292
HPSI0115i-qecv_2,1.0,0.5714285714285714,0.13226001425322165
HPSI0115i-quze_6,1.0,0.36075949367088606,0.022057274955785695
HPSI0115i-sehp_2,1.0,0.781919111816019,0.01162872698752576
HPSI0115i-tiku_3,1.0,0.3106796116504854,0.03224284300469159
HPSI0115i-uupc_2,1.0,0.6666666666666666,0.03928371006591931
HPSI0115i-zihe_1,1.0,0.026455026455026454,0.011673503219211592
HPSI0214i-datg_2,1.0,0.4429916317991632,0.011360165989782777
HPSI0214i-eiwy_1,1.0,0.6012048192771084,0.016996015995077347
HPSI0214i-feec_2,2.0,0.042671862757227105,0.006422954528570772
HPSI0214i-giju_3,1.0,0.8040770101925255,0.007711707402248811
HPSI0214i-heth_1,1.0,0.02383939774153074,0.0054035492839712256
HPSI0214i-pelm_3,2.0,0.5939825282303983,0.004337922312990945
HPSI0214i-poih_2,1.0,0.6602132435465768,0.007933713112890824
HPSI0214i-rayr_1,1.0,0.7117903930131004,0.02116399004753639
HPSI0215i-deyz_2,1.0,0.6166390511903723,0.0045404044613516015
HPSI0215i-fawm_2,1.0,0.8081063964534515,0.009909995480682582
HPSI0215i-hipn_1,2.0,0.36828918031346447,0.010923340700865153
HPSI0215i-oilg_1,1.0,0.06619859578736209,0.007874157018334833
HPSI0215i-romx_1,1.0,0.08221476510067115,0.005031961520620387
HPSI0215i-uiao_2,1.0,0.3145686734427938,0.00749624566151506
HPSI0215i-yoch_6,1.0,0.029790660225442835,0.004824052124091752
HPSI0215i-zett_5,2.0,0.8517074383960589,0.003345341385869208
