gene,gene_index,mean,var
HES4,40,2.5983376606864237,11.618301727333161
ISG15,42,0.3947036376356457,1.7794457741303153
MXRA8,66,0.572609660897278,0.9109133653485029
C1orf222,98,0.003773306963686497,0.0072547145230231124
AL589739.1,112,1.53515789692963e-05,2.5672918032626353e-05
RP3-395M20.12,120,0.08855978165772993,0.20885408524601537
RP13-614K11.2,154,0.0006152020452953869,0.0009430758569846816
RP3-467L1.4,198,7.944017313050251e-05,0.00010941778929712709
DRAXIN,262,0.8540809022775704,1.182338843159223
NPPB,270,0.06963895878695091,4.310874018697061
DHRS3,279,0.1048749579433274,0.15211850520910503
PRAMEF12,284,0.0014447957381133083,0.025347971088351018
PRAMEF1,285,0.0004358676328884274,0.003702670675604397
PRAMEF2,289,3.972243849220341e-05,9.801576636088641e-05
PRAMEF4,290,1.2216981643709134e-05,3.2428556717086556e-05
PRAMEF26,297,3.0543470239378776e-05,9.240082261691545e-05
PRAMEF13,303,0.00013418331802708566,0.0008433481809620916
PRAMEF14,308,9.665200225176806e-06,2.0296515085081385e-05
RP11-344F13.1,317,2.0704050063340728e-05,6.52184745886188e-05
C1orf64,347,0.20040171358759626,0.2842894025431308
NBL1,416,0.05620608138025028,0.0979580806911269
PLA2G2A,423,0.0023343445654258783,0.06408056590591796
PLA2G2D,425,0.0001892004906356204,0.0012666079457705392
CDC42,464,2.9735144272590452,5.715683452486301
EPHB2,472,0.2564299031814675,0.3522093545523633
RP11-69E9.1,473,1.1482211489839636e-05,1.7498529356137342e-05
HNRNPR,482,3.7031026524766304,5.601027723648407
C1orf213,484,1.3403161493164066,1.908269238183208
ID3,490,2.9275921365196,10.133571394573599
CNR2,500,0.0002963108987031887,0.0004330921554415288
STMN1,544,7.951586598648692,40.048813453025204
SH3BGRL3,556,3.323866097811029,9.39848434576117
CD52,558,0.017515486298266873,0.026356917613109716
HMGN2,564,10.549784744627678,44.27110306049944
SFN,570,0.012178848058512163,0.04700852198940876
IFI6,594,0.046496499216865834,0.07365622133514295
OPRD1,625,4.202458357349107e-05,5.782541648252916e-05
EPB41,628,0.3803843440514668,0.5639882767911185
FABP3,654,0.08252369135249368,0.20780750597311182
RP11-439L8.4,658,4.2348143924609354e-05,0.00017677569771663637
TINAGL1,660,0.0037501289053873737,0.01630137439877143
RP4-534N18.2,673,1.5870369763848398e-05,2.26842441383466e-05
MARCKSL1,688,9.326404798040235,17.590658481256867
HPCA,704,0.031986284205284675,0.05210246715552917
A3GALT2,714,6.777680531246262e-06,9.980721942085604e-06
SFPQ,735,0.7924684207740563,1.12068773945707
CLSPN,744,0.3998101826894754,0.6661325230596205
CDCA8,776,0.5778751320355685,1.3101032263627392
POU3F1,789,0.36706977098157373,0.5019050025982763
RHBDL2,797,0.001872938710158056,0.0043312667713177756
NDUFS5,799,7.973739808234877,11.33909458889731
RP11-420K8.1,801,7.74758889776084e-05,0.00012072975806439831
SLC2A1,868,4.316096477009127,13.739228816132535
CDC20,878,2.1816118860489895,11.065020883126667
ATP6V0B,895,1.8226110767198567,2.610796712604546
KIF2C,906,0.5135981173856612,1.2020600788140845
PLK3,910,0.24120557310556287,0.4287943824354484
PRDX1,924,8.809451675557254,20.29875302168888
NASP,926,2.4909723556641246,4.542213751579062
UQCRH,941,11.87141857116228,16.768783885624316
LINC00505,945,0.09705665981276695,0.13831680969710788
FOXD2,970,0.0017418971714992608,0.003006847261025631
AL109659.1,978,6.867115891893681e-06,1.0245862644779959e-05
ELAVL4,988,0.08889240768243489,0.2455476949339497
RP11-567C20.2,989,1.4934285828235352e-05,2.4591767140655364e-05
DMRTA2,991,0.10172237193260016,0.17805675840694016
RP4-657D16.6,1008,3.0070851228181307e-05,4.156587755573183e-05
FAM151A,1071,0.00027141538492546504,0.0042390426003283835
TACSTD2,1107,0.0060402299095545795,0.09922600109843505
JUN,1109,0.24024588754780177,0.6127155094957277
RP11-5P4.1,1143,4.2855721761849034e-05,5.868804526462439e-05
RP11-335E6.4,1147,7.97829728791707e-05,0.00015293441008734158
RP4-792G4.2,1150,0.006456775666073283,0.013309753655561083
FOXD3,1151,0.0008293499376354313,0.0011925066327448902
RP11-24J23.2,1158,0.00032009144753651007,0.0005488670654772987
RP11-342H21.2,1178,1.3869031976734707e-05,2.2677048230105456e-05
IL23R,1182,0.0001165788225173362,0.00017002531432758452
SERBP1,1184,7.408089868183053,10.289786501600567
GADD45A,1186,0.7238869683842414,1.8569036738959706
WLS,1190,1.0452603060377363,1.6331403213134854
DEPDC1,1192,0.23958885653961529,0.4240374740175662
RP3-333A15.1,1211,1.74161078960396e-05,3.297620870595357e-05
RP4-788P17.1,1220,1.5119618741964196e-05,2.5428313724381405e-05
IFI44L,1264,0.00025086538830644724,0.00039480311226303887
IFI44,1265,0.00015828494723956052,0.00045022530140700597
RP5-837I24.4,1274,9.705852781543747e-05,0.00024963767458824245
RP11-147G16.1,1275,1.8032615758502407e-05,2.5616452785148263e-05
RP4-601K24.1,1276,6.823271962754481e-06,1.0115448542319656e-05
CYR61,1302,1.3121974948983643,7.257775347087327
GBP2,1329,0.00039688839919810575,0.003340184104029763
BARHL2,1344,0.021509216857225,0.033522037585039154
ARHGAP29,1376,0.4142234632958379,0.6400415911392701
CNN3,1386,3.8997012407603866,6.28665378208907
RP11-14O19.1,1396,6.927528447889913e-06,1.0426928295493397e-05
RP11-14O19.2,1397,0.00016710425179718955,0.00026408082942780474
RP4-617C6.1,1398,6.37958851825634e-06,8.842704257211067e-06
MIR137HG,1409,0.00024455473258415216,0.0003390705696451419
PALMD,1416,0.0007062431855953636,0.0011191921202477746
GPSM2,1484,0.1296325608027029,0.18207671595981462
C1orf194,1491,0.01857609711114033,0.025704142380287037
PSRC1,1495,0.3965882806459157,0.8298219202037961
RP5-1160K1.8,1504,2.7222348845386742e-05,4.4575362770557523e-05
PIFO,1558,0.22430483493432454,0.3366116257641037
CAPZA1,1577,1.1816152210977304,1.6495938829275296
RHOC,1580,1.2368274204507275,1.7667106483294046
CSDE1,1611,3.0490940209749575,4.544547011675624
NGF,1618,0.009587639036136934,0.015560582761851835
NHLH2,1621,0.036327784331737854,0.05067445762452945
PHGDH,1663,4.151456555120103,8.95121243236257
HMGCS2,1664,0.0014938040286323552,0.0022536809465880095
RP11-343N15.2,1678,2.425676380386787e-05,3.379044738403713e-05
TXNIP,1722,2.2727663191935417,4.017356027772544
RP11-337C18.8,1746,0.00861642597173432,0.014177718170557572
PPIAL4C,1794,1.3231443255238159e-05,2.027602084668365e-05
RP11-277L2.5,1797,2.6811291023218332e-05,3.792349579012815e-05
HIST2H2BF,1803,0.005091685237389668,0.007041931072995627
HIST2H2BE,1815,0.17727699407778047,0.45560669789842
ANP32E,1825,1.8198835552000727,2.963550182724857
C1orf54,1829,0.9899316226912473,1.3903976240635376
ECM1,1835,0.029517048614097572,0.041557095572064426
MLLT11,1858,1.4173366728647634,3.2493346548394975
CELF3,1883,0.017249363833834314,0.02611385699055851
S100A10,1900,1.6500326870734014,7.265739201607879
NBPF18P,1901,0.00635687967394496,0.03160560766528696
S100A11,1902,0.9004399428198252,6.785186512996374
SPRR3,1941,0.001649213805834837,0.07523086543273744
SPRR1B,1942,0.00010410723389345865,0.00033942984428965466
SPRR2D,1943,0.0002033039737849793,0.0005464352027063523
SPRR2A,1944,5.9755420212522445e-05,0.00023117023145015984
SPRR2F,1947,7.220418129799677e-05,0.00010441501801310884
PRR9,1951,1.1917088839197193e-05,1.8220849833212216e-05
S100A9,1955,0.00018946689325677967,0.0015365467960660856
S100A6,1962,0.4477104764542323,1.3427388168589043
S100A16,1967,0.12235646878369208,0.20398907677960176
S100A14,1968,0.0019084253005703688,0.003839094803749537
S100A13,1969,1.6645770054304303,5.226846953131442
ILF2,1974,3.3218472157179284,4.638148231191046
RP11-216N14.9,1978,8.159089658284827e-06,1.4463825637065811e-05
RPS27,1989,63.16896352941718,373.3263433729858
CKS1B,2016,4.443314203517727,21.63700414336149
EFNA3,2025,0.2524800042703007,0.3795578356891234
LMNA,2066,0.29728595711116534,0.5252550203242429
C1orf61,2081,0.00037682960574303025,0.0005304170729996494
NES,2095,1.4578647245260528,2.9513124925464482
NTRK1,2105,0.03404726061388701,0.07559860564640664
ETV3L,2110,0.004596044088997704,0.0067495568006517475
OR10K2,2132,6.965423736311715e-06,1.0541315927227163e-05
CCDC19,2168,0.005481322938164884,0.007553066540992335
TAGLN2,2170,0.7518342408501365,1.4535115486040069
RP11-536C5.2,2176,1.3898236938618707e-05,2.087689036220004e-05
KCNJ9,2177,7.925754884544566e-05,0.00012961971318071043
NHLH1,2190,0.15935091775687102,1.3437873710079153
CD48,2197,3.9752283199067714e-05,0.0001883853805528595
AL590714.1,2225,1.8547130384580865e-05,3.9833618615949545e-05
MPZ,2230,0.02545922946961974,0.04050623976676051
C1orf192,2232,0.0008822030024871727,0.0014193059144191336
HSPA6,2236,0.0015952922066554054,0.015150203398823196
SH2D1B,2254,8.30630397638176e-06,1.4990474887838392e-05
RGS4,2261,0.13861324533754793,0.26855553339370464
RGS5,2262,0.03304630270428765,0.04740807893594422
NUF2,2266,0.4707418848285954,0.9605812817769646
LMX1A,2269,0.09450304625239764,0.13747812270572204
RXRG,2272,0.0069671685216849,0.01301358749971098
MAEL,2293,0.005322870137698949,0.009851074571829264
ATP1B1,2323,0.5519162812512944,0.8575864015097954
SELE,2334,0.0002016050890167981,0.00038566930564472513
RP1-79C4.1,2346,2.7974929258094776e-05,4.093421267475176e-05
PRRX1,2347,0.03076368099160519,0.05002212049244014
PRDX6,2373,12.16153429933125,30.01800367342119
CACYBP,2390,1.943428107567853,2.6965441580509566
TNR,2396,2.6267238394772985e-05,3.65173737309749e-05
RP11-33M22.2,2458,6.866328555661485e-06,1.024351326622258e-05
GLUL,2464,3.6742100195435654,11.256656228325182
RGS16,2469,0.5052948663118295,1.8181742819673492
IVNS1ABP,2499,0.5267801267627755,0.7312746313419292
PDC,2511,1.2529922283020965e-05,1.911769229669203e-05
ERVMER61-1,2520,0.00024967580885155245,0.0004547726855922395
RGS1,2541,0.002040510674791817,0.003318024809194576
RGS2,2543,0.6297128755858179,2.1089324867016934
B3GALT2,2550,0.0011979717326957289,0.001765528639362568
RP11-21J7.1,2552,1.303848881704839e-05,2.089669047441934e-05
ASPM,2565,0.21807477623351137,0.37035945763941375
LHX9,2572,0.0006783988921525142,0.0011550166185058898
PHLDA3,2607,0.423864632996494,0.6426694313451964
CSRP1,2608,0.3089193824510922,0.5490156147002216
ELF3,2624,0.1726410319298825,0.2903608656596439
UBE2T,2629,1.1767827804188087,2.5278177464226292
MYBPH,2649,0.0012932377488456507,0.0031473280670307573
BTG2,2654,0.6378321259078524,0.9209104889285454
LAX1,2659,0.0001443568351430943,0.0006473887368671448
SNRPE,2662,7.187053157404808,10.565954250110138
MDM4,2676,0.3917288876492376,0.5797747250874701
KLHDC8A,2689,0.02129059355480526,0.03425885528787742
LEMD1-AS1,2690,0.00011982636007060024,0.00016920086093973917
NUCKS1,2697,7.291237059651311,21.27786851449497
RP11-38J22.3,2707,0.00011049559202054238,0.00015410621737664077
IL24,2725,4.347970986718406e-05,6.639663460736066e-05
RP11-164O23.7,2734,1.829468021188894e-05,2.509606901937699e-05
MIR205HG,2752,0.02131590715975927,0.10756032472716684
G0S2,2757,0.055359575246754056,0.09241079108003179
SLC30A1,2774,0.08290806330465467,0.12251881562148573
NEK2,2777,0.38263093536197307,1.1630014287708073
ATF3,2794,0.13758609864308283,0.4382870713825033
CENPF,2814,2.187277118063386,16.98813612795075
HLX,2858,0.0003036117671783939,0.000464236312247205
RP11-449J1.1,2899,1.370144567654619e-05,2.0833944818944458e-05
LBR,2901,0.2691026894947727,0.36951435026438806
SRP9,2905,4.687668424456094,6.453499288154969
LEFTY1,2909,0.0008320771715838114,0.002918886825745211
LEFTY2,2912,0.0477933671355056,0.6917267800499989
MIXL1,2919,0.008642320601199708,0.012950389293143664
RHOU,2960,0.6783775854448477,1.0175213122056113
ACTA1,2969,0.4049721380948936,4.977347324697557
RP5-956O18.2,2979,2.2960918098946684e-05,3.260573625631994e-05
RP11-544D21.2,3070,0.0004775884668072015,0.0027128051848247163
GREM2,3079,0.002907156959088894,0.005463598871136896
RP11-261C10.2,3096,3.874143963070883e-05,5.493711564832252e-05
ADSS,3112,1.248927660473556,2.4882543276223323
HNRNPU,3117,3.2037831102919854,5.022798037055445
OR6F1,3154,1.8921138413194244e-05,2.8219435285827397e-05
OR2L3,3169,1.6194509918146734e-05,2.920289450951115e-05
SOX11,3268,1.9268878389488242,9.19922948614183
ID2,3294,0.30448004715848814,0.7441430806338329
YWHAQ,3308,5.187762309224425,7.823753549766703
RRM2,3323,0.4976940475187093,0.9169158272524266
ODC1,3326,9.600825696940687,25.41378917052883
PDIA6,3335,6.00997149009762,9.65361010724348
AC010745.4,3379,1.786219038421389e-05,3.136442489733487e-05
VSNL1,3386,0.0773780332167169,0.12055766254471338
KCNS3,3390,0.11525794170392333,0.1602684066332101
LAPTM4A,3407,3.872859851579364,6.516525692226892
RHOB,3412,0.23759465807713925,0.3862774179784143
AC009411.1,3428,8.071061078194448e-06,1.4153408097079584e-05
TP53I3,3448,0.45144296457175026,0.654083217765638
POMC,3465,0.00618130085426824,0.012695614850380487
DRC1,3481,0.020833828403040586,0.03162286185433618
CENPA,3488,0.326451414560474,0.8197912965875609
PPP1CB,3545,0.9441639892188212,1.5516397500727086
LBH,3559,0.08338286951944518,0.13261453995498565
AC020594.5,3587,0.00024452884485910427,0.00036382003588572624
QPCT,3614,0.20102679363775539,0.2788170958427111
CYP1B1,3621,0.02789785534184735,0.1541677095424453
SRSF7,3633,1.8722180929144938,3.318445558966035
ZFP36L2,3667,1.3426550073122967,2.5601252789389886
SIX3,3681,0.2629403082368908,0.37759713078401924
CALM2,3713,12.21804674519379,77.32107878797325
BCYRN1,3716,0.04222708412387173,0.06129938519377276
EPCAM,3717,0.366009935640571,0.5591791283258657
EML6,3756,0.005293700716227337,0.0172184324417021
RTN4,3758,2.9069323815361923,5.087283797378705
EFEMP1,3769,0.5284971195246949,0.9382173936005198
AC011306.2,3771,0.004571151271640826,0.006628875470366985
EHBP1,3809,0.3409200763030386,0.4685555285410042
AC007403.3,3855,6.806200208841753e-06,1.0064893558896235e-05
AC010987.6,3863,1.7344281159341985e-05,2.5307782900301995e-05
SNRPG,3902,3.104299379432828,4.578927939819053
EGR4,3939,0.0037290232148113342,0.017970441848676078
ACTG2,3947,0.07434289151485572,0.17131591993297626
MTHFD2,3958,1.249380471996953,2.431386957267734
AC005041.17,3973,1.0967503458867903e-05,1.6105704161120058e-05
GCFC2,3997,0.37976198665059996,0.6285719700359325
REG1B,4009,0.0002117663295857479,0.0003930826555428638
REG3A,4011,1.300549010159121e-05,2.3672756314271122e-05
TRABD2A,4025,0.03718820092206996,0.07891286565969403
TMSB10,4027,17.127012607527007,98.59889321509519
VAMP8,4039,0.11221732534763254,0.20390548192801544
CH17-132F21.1,4082,2.330089619367193e-05,3.9581422568789685e-05
RP11-440D17.4,4097,2.1167703043152533e-05,3.415548485228289e-05
TRIM43,4098,0.0131176357111359,0.7536475753246406
CNGA3,4137,0.0003953406552788547,0.000571406248425664
LINC01104,4159,1.932199762499049e-05,3.66260899612114e-05
LINC01158,4210,0.010251988568882223,0.014014668467287321
AC009505.2,4229,4.10309836287834e-05,6.566115306671717e-05
AC009505.4,4230,7.584199236856517e-06,1.2497387006198241e-05
AC018878.3,4233,1.8421653130488897e-05,2.591878531789978e-05
SLC5A7,4247,1.7086526205910702e-05,2.3623231313927438e-05
BUB1,4278,0.22279167342965409,0.40241566100438636
CKAP2L,4305,0.1869043465861039,0.302733692507122
IL36RN,4312,7.50153148377457e-05,0.00011673189408513548
AC009303.1,4346,1.542757035802909e-05,2.664467213310415e-05
AC079154.1,4390,1.2883188802746673e-05,1.8183379119995575e-05
CFC1B,4437,1.3946965095729337e-05,2.2760536074246248e-05
LYPD1,4469,0.589906028214764,1.4225354240503598
NCKAP5,4471,0.01594688726327087,0.021793839134349485
TMEM163,4477,0.006605538096793264,0.011102478505370094
CXCR4,4492,1.3340314791924601,2.2457101225244513
KIF5C,4538,0.433470506015529,0.6231471401504205
AC007364.1,4543,3.064624834299668e-05,5.1738277730935314e-05
RND3,4546,0.3150327335483394,0.46467061512920005
KCNJ3,4573,0.002703469259296664,0.014728304798700867
ERMN,4580,0.04458382811650506,0.06225380640591105
SPC25,4653,0.3358962905736097,0.4847125580397762
SP5,4674,0.9458876116261489,1.3590639817298704
GAD1,4678,0.19068655704418389,0.26434992734854723
CHRNA1,4722,0.0008816986403834919,0.0019582373368201185
AC016751.2,4730,7.35762471855245e-06,1.1761833998865843e-05
HOXD-AS2,4737,2.1532394168240534e-05,3.48588245809747e-05
HNRNPA3,4756,4.559938358950343,6.466240178277143
UBE2E3,4791,2.7611290846166767,3.77861735081286
NEUROD1,4798,0.08567686658700245,0.350900716959025
FRZB,4806,1.1843144845967133,3.210464653245376
TFPI,4828,0.4663522673818785,2.9082670431278266
