gene,gene_index,PC,loading,abs_loading
HMGB2,8355,PC1,0.1188498657034588,0.1188498657034588
PTTG1,9904,PC1,0.11632702410899287,0.11632702410899287
NUSAP1,23715,PC1,0.11533408817204452,0.11533408817204452
UBE2C,29110,PC1,0.11380189875415435,0.11380189875415435
CENPF,2814,PC1,0.11355434123815614,0.11355434123815614
CKS2,16176,PC1,0.1126692097839187,0.1126692097839187
TOP2A,26953,PC1,0.11216373939475875,0.11216373939475875
PLK1,25072,PC1,0.11129443130619839,0.11129443130619839
CCNB1,9002,PC1,0.11108735709424288,0.11108735709424288
TUBB4B,16842,PC1,0.11081892163656011,0.11081892163656011
KPNA2,27552,PC1,0.11044412546610244,0.11044412546610244
CCNB2,23948,PC1,0.10872379630310643,0.10872379630310643
CDC20,878,PC1,0.10818839136698383,0.10818839136698383
BIRC5,27747,PC1,0.10747379044181517,0.10747379044181517
CKS1B,2016,PC1,0.10737526496555748,0.10737526496555748
AURKB,26322,PC1,0.1070886712384032,0.1070886712384032
CCNA2,8036,PC1,0.10708847847976605,0.10708847847976605
TPX2,28872,PC1,0.10636553403470288,0.10636553403470288
CDK1,17376,PC1,0.10627572299702491,0.10627572299702491
ARL6IP1,24979,PC1,0.10626693584261547,0.10626693584261547
AURKA,29223,PC1,0.10169670364884989,0.10169670364884989
KIF2C,906,PC1,0.10130775235014494,0.10130775235014494
SMC4,6760,PC1,0.1010379641847806,0.1010379641847806
CDKN3,22816,PC1,0.10052161513373359,0.10052161513373359
MKI67,18069,PC1,0.10025185834818029,0.10025185834818029
FAM64A,26218,PC1,0.09947980354477114,0.09947980354477114
NEK2,2777,PC1,0.0991483082769013,0.0991483082769013
CDCA8,776,PC1,0.09901755658383242,0.09901755658383242
DLGAP5,22827,PC1,0.0989719324461417,0.0989719324461417
GTSE1,32158,PC1,0.09883910979138238,0.09883910979138238
UBE2S,31259,PC1,0.09848350139413416,0.09848350139413416
CENPA,3488,PC1,0.09764533003322189,0.09764533003322189
MAD2L1,8024,PC1,0.09748249700106577,0.09748249700106577
H2AFZ,7891,PC1,0.09617041488958307,0.09617041488958307
NUF2,2266,PC1,0.09398232508033989,0.09398232508033989
HMGB1,21898,PC1,0.09365648889956084,0.09365648889956084
PSRC1,1495,PC1,0.09286849856694165,0.09286849856694165
CKAP2,22085,PC1,0.09275025764467781,0.09275025764467781
SGOL2,4916,PC1,0.09253077368448548,0.09253077368448548
KNSTRN,23684,PC1,0.09239332744912365,0.09239332744912365
TUBA1B,20637,PC1,0.0919128953004954,0.0919128953004954
HMMR,9921,PC1,0.09182736356477562,0.09182736356477562
KIF20A,9580,PC1,0.09128123285654968,0.09128123285654968
HJURP,5279,PC1,0.09124619711838783,0.09124619711838783
NUCKS1,2697,PC1,0.09052635505187506,0.09052635505187506
UBE2T,2629,PC1,0.08983542758045766,0.08983542758045766
BUB3,18024,PC1,0.08956240855599958,0.08956240855599958
TACC3,7183,PC1,0.08951103008763356,0.08951103008763356
CDCA3,20177,PC1,0.08858710940552741,0.08858710940552741
NDC80,27946,PC1,0.08855715565843023,0.08855715565843023
HMGB3,14166,PC1,0.08798861033583576,0.08798861033583576
HMGN2,564,PC1,0.08756323086084333,0.08756323086084333
DEPDC1,1192,PC1,0.08698956413625566,0.08698956413625566
CDCA2,14569,PC1,0.08685763333362592,0.08685763333362592
