gene,gene_index,PC,loading,abs_loading
HMGB2,8355,PC1,0.11550107541536521,0.11550107541536521
PTTG1,9904,PC1,0.11243126858542192,0.11243126858542192
NUSAP1,23715,PC1,0.1121771862584926,0.1121771862584926
CENPF,2814,PC1,0.1101778233257832,0.1101778233257832
UBE2C,29110,PC1,0.1098101182081386,0.1098101182081386
CKS2,16176,PC1,0.10908128515138767,0.10908128515138767
TOP2A,26953,PC1,0.10819657486251186,0.10819657486251186
PLK1,25072,PC1,0.1081189361743551,0.1081189361743551
CCNB1,9002,PC1,0.107888458494815,0.107888458494815
TUBB4B,16842,PC1,0.1077732494411588,0.1077732494411588
KPNA2,27552,PC1,0.1066619502737186,0.1066619502737186
CCNB2,23948,PC1,0.10581902223945326,0.10581902223945326
CKS1B,2016,PC1,0.10554699411046337,0.10554699411046337
CDC20,878,PC1,0.10493200187201752,0.10493200187201752
AURKB,26322,PC1,0.10448515133939537,0.10448515133939537
BIRC5,27747,PC1,0.10448211901660114,0.10448211901660114
CCNA2,8036,PC1,0.10396709946182502,0.10396709946182502
CDK1,17376,PC1,0.1031265023755592,0.1031265023755592
TPX2,28872,PC1,0.10304531575696248,0.10304531575696248
ARL6IP1,24979,PC1,0.10212287149277223,0.10212287149277223
SMC4,6760,PC1,0.09904894119818712,0.09904894119818712
KIF2C,906,PC1,0.09868825712024183,0.09868825712024183
AURKA,29223,PC1,0.09843971347320114,0.09843971347320114
CDKN3,22816,PC1,0.09781802675384393,0.09781802675384393
MKI67,18069,PC1,0.09720275138622628,0.09720275138622628
FAM64A,26218,PC1,0.09717374859094527,0.09717374859094527
CDCA8,776,PC1,0.09673518804657188,0.09673518804657188
DLGAP5,22827,PC1,0.09605575632296699,0.09605575632296699
GTSE1,32158,PC1,0.09600216508410822,0.09600216508410822
UBE2S,31259,PC1,0.09598073089183733,0.09598073089183733
MAD2L1,8024,PC1,0.0956259183089183,0.0956259183089183
NEK2,2777,PC1,0.09549268971431435,0.09549268971431435
CENPA,3488,PC1,0.09486907605076102,0.09486907605076102
H2AFZ,7891,PC1,0.09447030509118341,0.09447030509118341
HMGB1,21898,PC1,0.09234688703752261,0.09234688703752261
NUF2,2266,PC1,0.09172514705967948,0.09172514705967948
PSRC1,1495,PC1,0.09033043438683075,0.09033043438683075
TUBA1B,20637,PC1,0.09018243996188509,0.09018243996188509
SGOL2,4916,PC1,0.09001450563704144,0.09001450563704144
CKAP2,22085,PC1,0.08970444106704913,0.08970444106704913
KNSTRN,23684,PC1,0.08966208617941857,0.08966208617941857
HMMR,9921,PC1,0.08947932748087117,0.08947932748087117
