gene,gene_index,PC,loading,abs_loading
HMGB2,8355,PC1,0.11549698472557716,0.11549698472557716
PTTG1,9904,PC1,0.1124298067954485,0.1124298067954485
NUSAP1,23715,PC1,0.1121759750825236,0.1121759750825236
CENPF,2814,PC1,0.11017581106936229,0.11017581106936229
UBE2C,29110,PC1,0.10980731163575891,0.10980731163575891
CKS2,16176,PC1,0.10907948036011872,0.10907948036011872
TOP2A,26953,PC1,0.10819506360524327,0.10819506360524327
PLK1,25072,PC1,0.10812008303277108,0.10812008303277108
CCNB1,9002,PC1,0.10788772516468707,0.10788772516468707
TUBB4B,16842,PC1,0.10777352303204428,0.10777352303204428
KPNA2,27552,PC1,0.1066577790648043,0.1066577790648043
CCNB2,23948,PC1,0.10581813729375253,0.10581813729375253
CKS1B,2016,PC1,0.10554336643714185,0.10554336643714185
CDC20,878,PC1,0.10492679730215765,0.10492679730215765
AURKB,26322,PC1,0.10448206152074528,0.10448206152074528
BIRC5,27747,PC1,0.10448073166452719,0.10448073166452719
CCNA2,8036,PC1,0.10396431624294439,0.10396431624294439
CDK1,17376,PC1,0.10312404464150111,0.10312404464150111
TPX2,28872,PC1,0.10304334079745243,0.10304334079745243
ARL6IP1,24979,PC1,0.10211976003570494,0.10211976003570494
SMC4,6760,PC1,0.09905094602905892,0.09905094602905892
KIF2C,906,PC1,0.0986838113720926,0.0986838113720926
AURKA,29223,PC1,0.09843763986565712,0.09843763986565712
CDKN3,22816,PC1,0.09781679140132604,0.09781679140132604
MKI67,18069,PC1,0.09720344263836403,0.09720344263836403
FAM64A,26218,PC1,0.09717319008487937,0.09717319008487937
CDCA8,776,PC1,0.09673651313677399,0.09673651313677399
DLGAP5,22827,PC1,0.09605538817944403,0.09605538817944403
GTSE1,32158,PC1,0.0960089899830168,0.0960089899830168
UBE2S,31259,PC1,0.09597648866561251,0.09597648866561251
MAD2L1,8024,PC1,0.09562556829425613,0.09562556829425613
NEK2,2777,PC1,0.09548791975718389,0.09548791975718389
CENPA,3488,PC1,0.09486666160667254,0.09486666160667254
H2AFZ,7891,PC1,0.09447305858982386,0.09447305858982386
HMGB1,21898,PC1,0.09234589158483812,0.09234589158483812
