gene,gene_index,mean,var
SAMD11,33,0.44018289219712986,0.802656998614734
HES4,40,0.4396678017124316,0.9563560402557152
ISG15,42,0.17135264280330365,3.4476748496979392
RPL22,166,7.152799575216137,12.470827876165295
ACOT7,173,1.0981607678720462,2.284593282716699
ESPN,176,0.07173697504430454,0.12844924169246486
UTS2,199,0.02254042601729567,0.41026778555826704
ENO1,210,4.014787933784321,10.138524875078048
KIF1B,233,0.6378164466989561,1.0091377314876078
RP4-635E18.6,251,0.02025141949786904,0.044052474761820296
DRAXIN,262,0.2961555524866165,0.5020201642392277
NPPB,270,0.019173564157268865,0.4088072976812059
RP5-888M10.2,278,7.684123084446467e-06,1.1726485315362219e-05
DHRS3,279,0.17623304049300442,0.49478821076266416
FAM231B,368,1.563378382444378e-05,2.7248954380940783e-05
MFAP2,380,0.8032766090895659,1.4308844437806714
IGSF21,396,0.329967259776079,0.6929229274355462
AKR7A2,410,1.2953310211570561,2.2356565547076666
NBL1,416,0.2641965632607905,0.6371398318915292
PLA2G2A,423,0.008068619928997638,0.014364955497303296
CAMK2N1,436,0.2759452092730446,0.7148094087876639
CDC42,464,4.39802727697431,11.921154072384692
WNT4,466,0.0585933201284243,0.1290818679941995
C1QB,471,1.4087754267911444e-05,2.2739002178697727e-05
RP1-184J9.2,478,1.3128000668497705e-05,2.4844918748863305e-05
ID3,490,5.792591845978243,59.243905253990214
RPL11,492,21.6475393423875,74.27184372893282
SH3BGRL3,556,2.517325734528653,4.65473755987412
UBXN11,557,0.43613297980801485,0.6753807884267141
HMGN2,564,10.00517577485763,73.56613413199449
NUDC,574,2.5056691429596905,5.223471527757407
NR0B2,575,0.02577576822695802,0.040642002518377476
CD164L2,586,0.029329598868056667,0.047262908863133536
IFI6,594,0.2467980319207859,0.5390564110466092
RP11-288L9.4,595,1.371999966311975e-05,2.4043215040463148e-05
FABP3,654,0.037730096647632216,0.06897803601159633
TINAGL1,660,0.0005155877629053721,0.0010302335565591262
CCDC28B,679,0.9900163926942399,1.6098346747891688
MARCKSL1,688,17.295916577081687,99.44937790008032
GJA4,728,0.00016701967120617776,0.00025719172098076384
C1orf216,743,0.18448213988539286,0.2926876946594092
CLSPN,744,0.10255101807750684,0.1886228565775179
TEKT2,751,0.23440740701544216,0.35793100048018067
MEAF6,770,2.234040506900456,3.7144623404132666
DNALI1,772,0.9954770324966107,2.287205017971848
CDCA8,776,0.07177231536661939,0.12353446577628528
POU3F1,789,0.04679432305490579,0.11036666982828919
MACF1,800,0.8530589073105435,1.3565943270172736
YBX1,859,14.143173510424168,47.25090316098422
FAM183A,870,0.9166037034525254,7.18363505113232
CDC20,878,0.36610672095644975,1.997251452740625
ATP6V0B,895,4.186822364431385,8.135172666546243
KIF2C,906,0.07085979366648712,0.12164440481889004
RPS8,908,21.82433332095508,93.68409953882843
PLK3,910,0.14969778465478326,0.2480142372752449
TCTEX1D4,911,0.0974136681300541,0.16523813005033483
PRDX1,924,3.0528685311960286,6.24862350352141
NASP,926,1.2124562929016596,1.8539790080957363
TSPAN1,935,0.05102265442903481,0.09512450670526208
ELAVL4,988,1.3638974770118542,5.319087207067719
DMRTA2,991,1.1995024925919306,2.6806245449801853
RAB3B,1009,0.45538057511118396,1.014833593522766
RP11-334A14.8,1033,5.9414911931371675e-05,9.153314573434207e-05
TMEM59,1057,3.448282547946322,6.647354500586067
TACSTD2,1107,0.06891318982597355,0.17883717508305558
JUN,1109,0.8919442366049737,2.529735434398547
NFIA,1128,0.738915689122364,1.7686406673824142
RP4-792G4.2,1150,0.008158327946721078,0.015312471810579542
TCTEX1D1,1175,0.41335315458389243,1.013617969159825
GADD45A,1186,0.24321106609483337,0.6041520365227309
DIRAS3,1189,0.06864100488262073,0.19607348600846944
WLS,1190,2.482803524127837,11.743353426323532
RPE65,1191,0.04958862613242326,0.14042839370905952
CTH,1206,0.07666546099585743,0.12298100365564031
PTGER3,1210,0.005791577376104248,0.009466869137145359
RP11-375A5.1,1253,0.0004408615147992864,0.0026202701103760786
PTGFR,1263,0.004579842816603214,0.007166248064376053
PRKACB,1283,0.34662345061714506,0.6099858564642255
GNG5,1287,3.1679717937519825,7.695291410276106
CYR61,1302,0.15963597923628123,0.4017178610963553
SH3GLB1,1312,0.9174088016672719,1.924940056092344
SEP15,1313,2.200256723515365,5.989234607980631
HS2ST1,1314,0.5707575737400302,0.9531526897414038
LMO4,1319,2.1225768292172495,5.507887990831694
BARHL2,1344,0.13310487444390307,0.2919704996115508
RP4-665J23.1,1345,0.4144209589585007,1.2774346589814987
RPL5,1362,14.79665065728521,46.844864921751594
FNBP1L,1368,1.1518115924996917,2.0271524109243964
F3,1381,0.5044863081783443,1.5655875871460811
CNN3,1386,2.8932044888369144,6.992905419018475
RP5-837M10.4,1431,1.8883941510903253e-05,3.553162399203877e-05
OLFM3,1446,0.13540691778885885,0.26723724133183946
NTNG1,1466,0.15662617258701178,0.315754889321418
C1orf194,1491,1.495728369456064,13.106693570990476
PIFO,1558,1.7319060032938216,13.866604733295668
WNT2B,1574,0.11965007421739285,0.49436017495434675
SYT6,1604,0.04486071115118712,0.07851329733042389
