cell_line,celltype,n_pools,phat,se
HPSI0114i-eipl_1,FPP,1.0,0.5364132178376644,0.008931961792994485
HPSI0114i-eipl_1,NB,1.0,0.07314725697786333,0.0046637578280560935
HPSI0114i-eipl_1,P_FPP,1.0,0.3904395251844722,0.008738097498037481
HPSI0114i-wegi_1,FPP,2.0,0.6107665728811886,0.01609307552818069
HPSI0114i-wegi_1,NB,2.0,0.0022222222222222222,0.0022172784514215946
HPSI0114i-wegi_1,P_FPP,2.0,0.38701120489658913,0.016039798807944865
HPSI0115i-aion_2,FPP,1.0,0.5584594222833562,0.01841678918059696
HPSI0115i-aion_2,NB,1.0,0.002751031636863824,0.0019425955289229585
HPSI0115i-aion_2,P_FPP,1.0,0.43878954607977994,0.018404490822510527
HPSI0115i-aoxv_1,FPP,1.0,0.5391785610253422,0.008507378274312137
HPSI0115i-aoxv_1,NB,1.0,0.030585493737256043,0.0029388377052837022
HPSI0115i-aoxv_1,P_FPP,1.0,0.43023594523740166,0.008450141234392309
HPSI0115i-bimq_4,FPP,1.0,0.5390749601275917,0.019907006592377034
HPSI0115i-bimq_4,NB,1.0,0.13237639553429026,0.013534343193419318
HPSI0115i-bimq_4,P_FPP,1.0,0.32854864433811803,0.01875743053793592
HPSI0115i-boqx_2,FPP,1.0,0.6041666666666666,0.040752411785782997
HPSI0115i-boqx_2,NB,1.0,0.006944444444444444,0.006920289781887383
HPSI0115i-boqx_2,P_FPP,1.0,0.3888888888888889,0.04062483512681538
HPSI0115i-gifk_1,FPP,1.0,0.4779874213836478,0.03961413304614724
HPSI0115i-gifk_1,NB,1.0,0.0,0.0
HPSI0115i-gifk_1,P_FPP,1.0,0.5220125786163522,0.03961413304614724
HPSI0115i-gost_2,FPP,1.0,0.5774477114277053,0.00860013767265772
HPSI0115i-gost_2,NB,1.0,0.010306153379812064,0.001758359118792505
HPSI0115i-gost_2,P_FPP,1.0,0.41224613519248254,0.008570080185716832
HPSI0115i-hecn_6,FPP,2.0,0.5868152274837511,0.011868902700765077
HPSI0115i-hecn_6,NB,2.0,0.01137418755803157,0.0023098926309810764
HPSI0115i-hecn_6,P_FPP,2.0,0.4018105849582173,0.011816445083272781
HPSI0115i-iiyk_2,FPP,1.0,0.5298013245033113,0.04061708454178478
HPSI0115i-iiyk_2,NB,1.0,0.0,0.0
HPSI0115i-iiyk_2,P_FPP,1.0,0.47019867549668876,0.04061708454178479
HPSI0115i-iuad_2,FPP,1.0,0.5497382198952879,0.03599928078700189
HPSI0115i-iuad_2,NB,1.0,0.020942408376963352,0.010360977916897059
HPSI0115i-iuad_2,P_FPP,1.0,0.4293193717277487,0.035815426258071104
HPSI0115i-jakt_1,FPP,1.0,0.6421291053227633,0.01613221552048152
HPSI0115i-jakt_1,NB,1.0,0.010192525481313703,0.003380149551669195
HPSI0115i-jakt_1,P_FPP,1.0,0.347678369195923,0.0160265253226499
HPSI0115i-melw_1,FPP,1.0,0.6206896551724138,0.0901022421425571
HPSI0115i-melw_1,NB,1.0,0.0,0.0
HPSI0115i-melw_1,P_FPP,1.0,0.3793103448275862,0.0901022421425571
HPSI0115i-paim_1,FPP,1.0,0.549618320610687,0.00780736464429179
HPSI0115i-paim_1,NB,1.0,0.007633587786259542,0.0013657898652836577
HPSI0115i-paim_1,P_FPP,1.0,0.44274809160305345,0.007794488783836706
HPSI0115i-qecv_2,FPP,1.0,0.48,0.09991996797437437
HPSI0115i-qecv_2,NB,1.0,0.0,0.0
HPSI0115i-qecv_2,P_FPP,1.0,0.52,0.09991996797437437
HPSI0115i-quze_6,FPP,1.0,0.5473372781065089,0.019144389931010402
HPSI0115i-quze_6,NB,1.0,0.03994082840236687,0.007531546929759971
HPSI0115i-quze_6,P_FPP,1.0,0.41272189349112426,0.018935523272513057
HPSI0115i-sehp_2,FPP,1.0,0.5789473684210527,0.02924592117426283
HPSI0115i-sehp_2,NB,1.0,0.0,0.0
HPSI0115i-sehp_2,P_FPP,1.0,0.42105263157894735,0.02924592117426283
HPSI0115i-tiku_3,FPP,1.0,0.544,0.044547861901554825
HPSI0115i-tiku_3,NB,1.0,0.016,0.011222833866720117
HPSI0115i-tiku_3,P_FPP,1.0,0.44,0.04439819816163715
HPSI0115i-uupc_2,FPP,1.0,0.5797101449275363,0.05942310739678889
HPSI0115i-uupc_2,NB,1.0,0.043478260869565216,0.02455042185101217
HPSI0115i-uupc_2,P_FPP,1.0,0.37681159420289856,0.05833742635874388
HPSI0115i-zihe_1,FPP,1.0,0.5400739827373613,0.017500892205812378
HPSI0115i-zihe_1,NB,1.0,0.09001233045622688,0.010049821073185361
HPSI0115i-zihe_1,P_FPP,1.0,0.36991368680641185,0.016952735889967537
HPSI0214i-datg_2,FPP,1.0,0.5002380952380953,0.007715166623369002
HPSI0214i-datg_2,NB,1.0,0.0002380952380952381,0.00023806689173665259
HPSI0214i-datg_2,P_FPP,1.0,0.49952380952380954,0.007715163999161626
HPSI0214i-eiwy_1,FPP,1.0,0.5864714086471409,0.013004738313779629
HPSI0214i-eiwy_1,NB,1.0,0.002789400278940028,0.0013927535926184708
HPSI0214i-eiwy_1,P_FPP,1.0,0.4107391910739191,0.012991589060806559
HPSI0214i-feec_2,FPP,2.0,0.5519550972177463,0.016179850886253667
HPSI0214i-feec_2,NB,2.0,0.1690353421420131,0.011597382975356535
HPSI0214i-feec_2,P_FPP,2.0,0.27900956064024063,0.014759691575830423
HPSI0214i-giju_3,FPP,1.0,0.5402081362346263,0.015329348857842212
HPSI0214i-giju_3,NB,1.0,0.0,0.0
HPSI0214i-giju_3,P_FPP,1.0,0.4597918637653737,0.015329348857842212
HPSI0214i-heth_1,FPP,1.0,0.5323224261771747,0.014095650355742145
HPSI0214i-heth_1,NB,1.0,0.09497206703910614,0.008282346610727421
HPSI0214i-heth_1,P_FPP,1.0,0.37270550678371905,0.013659761191744568
HPSI0214i-pelm_3,FPP,2.0,0.5546952121471681,0.007162207228563491
HPSI0214i-pelm_3,NB,2.0,0.014169468667705458,0.0015926635305280087
HPSI0214i-pelm_3,P_FPP,2.0,0.4311353191851265,0.007133774624620036
HPSI0214i-poih_2,FPP,1.0,0.5717425431711146,0.006199876024224362
HPSI0214i-poih_2,NB,1.0,0.0018838304552590266,0.0005433025411215622
HPSI0214i-poih_2,P_FPP,1.0,0.42637362637362636,0.00619640799764301
HPSI0214i-rayr_1,FPP,1.0,0.5923295454545454,0.018520384003332783
HPSI0214i-rayr_1,NB,1.0,0.017045454545454544,0.0048784817148408025
HPSI0214i-rayr_1,P_FPP,1.0,0.390625,0.01838806390022015
HPSI0215i-deyz_2,FPP,1.0,0.5712426805465192,0.012623481967614668
HPSI0215i-deyz_2,NB,1.0,0.0006506180871828237,0.000650406400797789
HPSI0215i-deyz_2,P_FPP,1.0,0.42810670136629797,0.012621081846226104
HPSI0215i-fawm_2,FPP,1.0,0.5903975993998499,0.013469096467728354
HPSI0215i-fawm_2,NB,1.0,0.0,0.0
HPSI0215i-fawm_2,P_FPP,1.0,0.40960240060015,0.013469096467728354
HPSI0215i-hipn_1,FPP,2.0,0.5698203412952197,0.016174916862964
HPSI0215i-hipn_1,NB,2.0,0.013084860734779697,0.003604494934237493
HPSI0215i-hipn_1,P_FPP,2.0,0.41709479797000054,0.016085715198133923
HPSI0215i-oilg_1,FPP,1.0,0.5243958048335613,0.010664318982690806
HPSI0215i-oilg_1,NB,1.0,0.09758321933424532,0.0063368267888759666
HPSI0215i-oilg_1,P_FPP,1.0,0.37802097583219335,0.010354437306748458
HPSI0215i-romx_1,FPP,1.0,0.5073911306432282,0.009992913413661422
HPSI0215i-romx_1,NB,1.0,0.08349980023971235,0.0055294072220070795
HPSI0215i-romx_1,P_FPP,1.0,0.4091090691170595,0.009827494080659959
HPSI0215i-uiao_2,FPP,1.0,0.6296296296296297,0.03794051216992958
HPSI0215i-uiao_2,NB,1.0,0.04938271604938271,0.017022871942374288
HPSI0215i-uiao_2,P_FPP,1.0,0.32098765432098764,0.036679676151223424
HPSI0215i-yoch_6,FPP,1.0,0.5074937552039966,0.01020081145718672
HPSI0215i-yoch_6,NB,1.0,0.060366361365528726,0.004859485337355146
HPSI0215i-yoch_6,P_FPP,1.0,0.4321398834304746,0.010107560681104969
HPSI0215i-zett_5,FPP,2.0,0.48493128574063826,0.006869627319539892
HPSI0215i-zett_5,NB,2.0,0.0009556457398184016,0.00042782244464939116
HPSI0215i-zett_5,P_FPP,2.0,0.5141130685195434,0.006870042690927432
HPSI0314i-bubh_3,FPP,1.0,0.5629903091832026,0.010655321003584758
HPSI0314i-bubh_3,NB,1.0,0.05768343331795108,0.005008348122652449
HPSI0314i-bubh_3,P_FPP,1.0,0.37932625749884635,0.010423382713179134
HPSI0314i-cuhk_2,FPP,1.0,0.5296331138287864,0.015308734911654388
HPSI0314i-cuhk_2,NB,1.0,0.09031044214487301,0.008791216121134513
HPSI0314i-cuhk_2,P_FPP,1.0,0.38005644402634053,0.01488790171512439
HPSI0314i-hoik_1,FPP,1.0,0.5099206349206349,0.01574541949653286
HPSI0314i-hoik_1,NB,1.0,0.0248015873015873,0.004898419384776665
HPSI0314i-hoik_1,P_FPP,1.0,0.4652777777777778,0.015710499954280355
HPSI0314i-qaqx_1,FPP,2.0,0.38848834414804134,0.019464176188924317
HPSI0314i-qaqx_1,NB,2.0,0.018485139790114555,0.006142137377760861
HPSI0314i-qaqx_1,P_FPP,2.0,0.5930265160618442,0.019772997251710327
HPSI0314i-sojd_3,FPP,2.0,0.6478475294985251,0.01220966857151402
HPSI0314i-sojd_3,NB,2.0,0.0716537610619469,0.006267304678291593
HPSI0314i-sojd_3,P_FPP,2.0,0.28049870943952804,0.01155535128816428
HPSI0314i-uict_1,FPP,1.0,0.5537313432835821,0.01920482459396565
HPSI0314i-uict_1,NB,1.0,0.0029850746268656717,0.002107613758668303
HPSI0314i-uict_1,P_FPP,1.0,0.44328358208955226,0.01919200890682663
HPSI0314i-xagu_1,FPP,1.0,0.5188679245283019,0.028018637183760423
HPSI0314i-xagu_1,NB,1.0,0.0031446540880503146,0.003139705770133386
HPSI0314i-xagu_1,P_FPP,1.0,0.4779874213836478,0.02801142210775682
HPSI0314i-xugn_2,FPP,1.0,0.47949699289229086,0.011681475774530187
HPSI0314i-xugn_2,NB,1.0,0.15035538545653362,0.008357402062213918
HPSI0314i-xugn_2,P_FPP,1.0,0.3701476216511755,0.01129015789534798
HPSI0414i-ceik_1,FPP,1.0,0.5617977528089888,0.02352054028213433
HPSI0414i-ceik_1,NB,1.0,0.024719101123595506,0.007360396173270756
HPSI0414i-ceik_1,P_FPP,1.0,0.4134831460674157,0.023344745769098407
HPSI0414i-gesg_2,FPP,1.0,0.6088595664467483,0.014981911644546597
HPSI0414i-gesg_2,NB,1.0,0.05655042412818096,0.0070911976112524215
HPSI0414i-gesg_2,P_FPP,1.0,0.33459000942507067,0.014485832235307826
