,,total_counts,total_counts,total_counts,total_counts,total_counts,total_counts,total_counts,total_counts,n_genes_detected,n_genes_detected,n_genes_detected,n_genes_detected,n_genes_detected,n_genes_detected,n_genes_detected,n_genes_detected
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
timepoint,celltype,,,,,,,,,,,,,,,,
D11,FPP,136074.0,12425.190322912533,5306.816656847692,636.0,9115.0,11762.0,14786.0,101166.0,136074.0,2665.2052633126095,658.443261246611,231.0,2259.0,2638.0,3034.0,8010.0
D11,NB,9973.0,11376.043517497243,4439.147496592284,654.0,8527.0,11096.0,13703.0,56192.0,9973.0,2541.4435977138273,602.8828476501429,444.0,2181.0,2546.0,2897.0,6248.0
D11,P_FPP,107334.0,16000.81853839417,7363.359867965808,635.0,11414.0,15656.0,20116.75,128425.0,107334.0,3130.5659716399277,875.0707790928411,391.0,2653.25,3185.0,3692.0,7621.0
D30,DA,69007.0,5734.09625110496,3631.0603786961556,356.0,4040.0,5474.0,7204.0,54173.0,69007.0,2172.8519570478356,953.496494618255,208.0,1824.0,2234.0,2688.0,7318.0
D30,Epen1,28145.0,14411.699840113697,8086.538492823467,373.0,9251.0,14377.0,19470.0,72398.0,28145.0,3743.8810090602237,1418.0669794341782,203.0,3184.0,4062.0,4715.0,8408.0
D30,FPP,58109.0,9526.383090399078,5715.09761221971,357.0,6756.0,9099.0,11791.0,147320.0,58109.0,2864.513293981999,1063.9724557397808,139.0,2493.0,2998.0,3469.0,8445.0
D30,P_FPP,18988.0,13579.639087844955,7770.222732778574,355.0,9576.0,13364.0,17575.25,118435.0,18988.0,3583.006583105119,1338.5311339975378,258.0,3180.75,3852.0,4398.0,9168.0
D30,Sert,53774.0,9585.683843493138,5647.551386081844,356.0,6144.0,8699.0,12241.75,64969.0,53774.0,2848.4871871164505,1076.8758027009362,203.0,2304.0,2866.5,3511.0,7953.0
D30,U_Neur1,21268.0,7140.216428437088,3364.5364610342963,360.0,5607.0,7165.0,8887.25,42600.0,21268.0,2492.671008087267,853.082104006645,219.0,2268.0,2634.0,2979.0,6368.0
D30,U_Neur2,1632.0,7842.97794117647,2971.0349499704603,382.0,6355.0,7683.0,9195.25,25084.0,1632.0,2615.1924019607845,693.2889570149922,252.0,2327.75,2645.0,2981.75,5371.0
D52,Astro,85451.0,8185.885782495231,3638.309728282409,1933.0,5758.0,7594.0,9765.5,80386.0,85451.0,2725.056184245942,681.5268313171974,919.0,2253.0,2666.0,3113.0,7411.0
D52,DA,79801.0,8231.250147241262,3897.910169546837,1927.0,5470.0,7414.0,10058.0,75754.0,79801.0,2897.0738837859176,825.0307489248165,922.0,2291.0,2797.0,3399.0,8408.0
D52,Epen1,92147.0,14981.20630080198,7992.399175037265,1927.0,9923.5,13583.0,18073.5,136061.0,92147.0,3450.313488230762,913.1511663606921,355.0,2849.0,3405.0,3975.0,8706.0
D52,Epen2,3446.0,16226.670632617528,9995.733189559222,2256.0,9865.25,13549.5,19534.5,89930.0,3446.0,3716.651770168311,1057.1528894517153,1103.0,2991.75,3572.0,4289.25,8025.0
D52,FPP,65718.0,8915.50062387778,5473.544619275726,1946.0,5638.0,7621.5,10428.0,121364.0,65718.0,2595.2078121671384,777.2822237868467,521.0,2060.0,2484.0,2985.0,8571.0
D52,P_FPP,25131.0,11696.500656559627,5908.866738283194,1940.0,7829.0,10699.0,14165.5,151277.0,25131.0,3409.4003422068363,879.9202183916808,1043.0,2797.0,3372.0,3950.0,8657.0
D52,P_Sert,2573.0,16806.515740380877,7826.374550730705,2736.0,11288.0,15810.0,20836.0,77109.0,2573.0,4148.911776136805,1015.5938105818769,1160.0,3460.0,4155.0,4812.0,7688.0
D52,Sert,130209.0,14141.526207865816,6941.095961956182,1930.0,9376.0,12864.0,17433.0,96468.0,130209.0,3477.4037816126383,881.9281258748332,376.0,2883.0,3451.0,4042.0,8251.0
D52,U_Neur1,31368.0,8011.5475643968375,4298.192332907762,1929.0,5661.0,7197.0,9283.5,110864.0,31368.0,2832.5609538383064,767.3629681810567,1019.0,2319.0,2718.0,3220.0,9154.0
D52,U_Neur3,7250.0,10223.000413793103,6303.353482230525,1981.0,6409.75,8750.5,11982.75,102451.0,7250.0,2977.2183448275864,882.1849582955189,959.0,2363.25,2859.0,3441.75,8648.0
