target,r_n_cells,p_n_cells,r_mean_total_counts,p_mean_total_counts,r_mean_n_genes_detected,p_mean_n_genes_detected,eta_sq_pool
PC1,-0.17092068466151497,0.031232364316984246,-0.8713101197650615,2.113204407099404e-50,-0.9126319672428623,7.025837867404155e-63,0.9993680398506748
PC2,0.003394910827843314,0.9661235868997413,0.14347326742436822,0.07119986603005275,0.21885758842204864,0.005578199509561344,0.11704645732895769
PC3,0.015668377627814548,0.8445914751895774,0.06291875664105175,0.43075725106830964,0.01990110870525949,0.8033699904287693,0.04194906608364242
PC4,0.07904234039766811,0.32199211877492817,-0.29517910765109295,0.00015859114904629812,-0.28228907628202826,0.00031209686939274084,0.593213932880353
PC5,-0.18035013955911383,0.022913606633427095,-0.8784620945687768,3.177859153889318e-52,-0.8765706556137847,9.889734362363737e-52,0.8743323762297175
PC6,-0.2318863888637363,0.003270469893484209,0.3054571797208748,9.030190864661246e-05,0.39863809372022374,1.9468488922730793e-07,0.3820720318661537
PC7,0.21125799029803993,0.007515785681926694,-0.02561989035736194,0.7485452309562336,-0.008711691157116732,0.9132139367135017,0.8314965290283255
PC8,0.00770225196455682,0.923237187491713,-0.20198188935697567,0.010674734458441125,-0.29691078297368717,0.0001444469574714424,0.4614920096180175
PC9,0.016256572980743872,0.8388351957302878,-0.22432435770222414,0.004474382366684512,-0.2211321163578798,0.005092361253162363,0.24856851372488453
PC10,-0.05823237740779509,0.4659357773925717,0.027032444012962103,0.7351834892566722,0.06430833832188099,0.4206274368247261,0.2055557337033627
