scheme,repeat,fold,cell_line,split
plain,0,0,HPSI0114i-eipl_1,train
plain,0,0,HPSI0115i-aion_2,train
plain,0,0,HPSI0115i-aoxv_1,train
plain,0,0,HPSI0115i-bimq_4,train
plain,0,0,HPSI0115i-boqx_2,train
plain,0,0,HPSI0115i-gifk_1,train
plain,0,0,HPSI0115i-gost_2,train
plain,0,0,HPSI0115i-hecn_6,train
plain,0,0,HPSI0115i-iiyk_2,train
plain,0,0,HPSI0115i-iuad_2,train
plain,0,0,HPSI0115i-jakt_1,train
plain,0,0,HPSI0115i-melw_1,train
plain,0,0,HPSI0115i-paim_1,train
plain,0,0,HPSI0115i-qecv_2,train
plain,0,0,HPSI0115i-quze_6,train
plain,0,0,HPSI0115i-sehp_2,train
plain,0,0,HPSI0115i-tiku_3,train
plain,0,0,HPSI0115i-uupc_2,train
plain,0,0,HPSI0115i-zihe_1,train
plain,0,0,HPSI0214i-datg_2,train
plain,0,0,HPSI0214i-eiwy_1,train
plain,0,0,HPSI0214i-giju_3,train
plain,0,0,HPSI0214i-heth_1,train
plain,0,0,HPSI0214i-pelm_3,train
plain,0,0,HPSI0214i-poih_2,train
plain,0,0,HPSI0215i-deyz_2,train
plain,0,0,HPSI0215i-fawm_2,train
plain,0,0,HPSI0215i-oilg_1,train
plain,0,0,HPSI0215i-romx_1,train
plain,0,0,HPSI0215i-uiao_2,train
plain,0,0,HPSI0215i-yoch_6,train
plain,0,0,HPSI0314i-bubh_3,train
plain,0,0,HPSI0314i-cuhk_2,train
plain,0,0,HPSI0314i-hoik_1,train
plain,0,0,HPSI0314i-sojd_3,train
plain,0,0,HPSI0314i-uict_1,train
plain,0,0,HPSI0314i-xugn_2,train
plain,0,0,HPSI0414i-gesg_2,train
plain,0,0,HPSI0414i-mita_1,train
plain,0,0,HPSI0414i-oaqd_2,train
plain,0,0,HPSI0414i-uawq_2,train
plain,0,0,HPSI0414i-xojn_3,train
plain,0,0,HPSI0513i-dipe_1,train
plain,0,0,HPSI0513i-fejf_2,train
plain,0,0,HPSI0513i-giuf_1,train
plain,0,0,HPSI0513i-momt_2,train
plain,0,0,HPSI0513i-oibg_1,train
plain,0,0,HPSI0513i-sucd_3,train
plain,0,0,HPSI0513i-uoxz_4,train
plain,0,0,HPSI0513i-veve_2,train
plain,0,0,HPSI0514i-fiaj_1,train
plain,0,0,HPSI0514i-lako_1,train
plain,0,0,HPSI0514i-naah_2,train
plain,0,0,HPSI0514i-oekw_2,train
plain,0,0,HPSI0514i-qihv_1,train
plain,0,0,HPSI0514i-rutc_2,train
plain,0,0,HPSI0514i-sohd_2,train
plain,0,0,HPSI0514i-suul_1,train
plain,0,0,HPSI0514i-tert_1,train
plain,0,0,HPSI0514i-yewo_4,train
