feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.2008,0.0492,False,1.0,0.0006,individual,0.0486,grouped (all proportions permuted together),0.0357,0.755,High (pool-associated)
phat_NB,-0.7331,-0.2755,False,1.0,0.004,individual,0.0486,grouped (all proportions permuted together),0.2136,0.037,Low
phat_P_FPP,0.4096,reference (=1-FPP-NB),,,0.008,grouped (FPP+NB dropped together),0.0486,grouped (all proportions permuted together),,0.651,High (pool-associated)
PC1,0.5693,0.1737,False,1.0,-0.003,individual,0.0057,individual,0.1309,0.462,Moderate
PC2,-0.7448,-0.3045,False,1.0,0.0055,individual,0.0383,individual,0.2415,0.114,Low
PC3,0.4831,0.1547,False,1.0,0.0054,individual,0.011,individual,0.1168,0.832,High (pool-associated)
PC4,0.4542,0.1535,False,1.0,0.0006,individual,0.0105,individual,0.1213,0.465,Moderate
PC5,0.1577,0.0468,False,1.0,-0.0008,individual,-0.002,individual,0.036,0.846,High (pool-associated)
PC6,-0.1194,-0.0379,False,1.0,-0.0005,individual,0.0012,individual,0.0258,0.79,High (pool-associated)
PC7,0.3171,0.0338,False,1.0,-0.0007,individual,-0.0005,individual,0.0256,0.851,High (pool-associated)
PC8,-0.3736,-0.1331,False,1.0,0.0023,individual,0.0033,individual,0.0842,0.413,Moderate
