scheme,pool_correction,model,repeat,fold,selected_k,selected_param
plain,False,ridge,0,0,1,alpha=1.0
plain,False,ridge,0,1,1,alpha=1.0
plain,False,ridge,1,0,1,alpha=1.0
plain,False,ridge,1,1,1,alpha=1.0
plain,False,lasso,0,0,1,alpha=1.0
plain,False,lasso,0,1,1,alpha=1.0
plain,False,lasso,1,0,1,alpha=1.0
plain,False,lasso,1,1,1,alpha=1.0
donor_grouped,False,ridge,0,0,1,alpha=1.0
donor_grouped,False,ridge,0,1,1,alpha=1.0
donor_grouped,False,ridge,1,0,1,alpha=1.0
donor_grouped,False,ridge,1,1,1,alpha=1.0
donor_grouped,False,lasso,0,0,1,alpha=1.0
donor_grouped,False,lasso,0,1,1,alpha=1.0
donor_grouped,False,lasso,1,0,1,alpha=1.0
donor_grouped,False,lasso,1,1,1,alpha=1.0
loco,False,ridge,0,0,1,alpha=1.0
loco,False,ridge,0,1,1,alpha=1.0
loco,False,ridge,1,0,1,alpha=1.0
loco,False,ridge,1,1,1,alpha=1.0
loco,False,lasso,0,0,1,alpha=1.0
loco,False,lasso,0,1,1,alpha=1.0
loco,False,lasso,1,0,1,alpha=1.0
loco,False,lasso,1,1,1,alpha=1.0
lodo,False,ridge,0,0,1,alpha=1.0
lodo,False,ridge,0,1,1,alpha=1.0
lodo,False,ridge,1,0,1,alpha=1.0
lodo,False,ridge,1,1,1,alpha=1.0
lodo,False,lasso,0,0,1,alpha=1.0
lodo,False,lasso,0,1,1,alpha=1.0
lodo,False,lasso,1,0,1,alpha=1.0
lodo,False,lasso,1,1,1,alpha=1.0
