scheme,pool_correction,model,repeat,fold,selected_k,selected_param
plain,False,ridge,0,0,5,alpha=0.1
plain,False,lasso,0,0,5,alpha=0.001
plain,False,ridge,0,1,7,alpha=0.1
plain,False,lasso,0,1,7,alpha=0.001
plain,False,ridge,0,2,8,alpha=0.01
plain,False,lasso,0,2,8,alpha=0.001
plain,False,ridge,0,3,7,alpha=1.0
plain,False,lasso,0,3,7,alpha=0.001
plain,False,ridge,0,4,6,alpha=1.0
plain,False,lasso,0,4,8,alpha=0.001
plain,False,ridge,1,0,2,alpha=10.0
plain,False,lasso,1,0,7,alpha=0.01
plain,False,ridge,1,1,5,alpha=0.01
plain,False,lasso,1,1,9,alpha=0.001
plain,False,ridge,1,2,6,alpha=0.01
plain,False,lasso,1,2,8,alpha=0.001
plain,False,ridge,1,3,6,alpha=1.0
plain,False,lasso,1,3,6,alpha=0.001
plain,False,ridge,1,4,5,alpha=0.01
plain,False,lasso,1,4,3,alpha=0.001
plain,False,ridge,2,0,3,alpha=10.0
plain,False,lasso,2,0,3,alpha=0.01
plain,False,ridge,2,1,4,alpha=0.01
plain,False,lasso,2,1,4,alpha=0.001
plain,False,ridge,2,2,4,alpha=0.01
plain,False,lasso,2,2,4,alpha=0.001
plain,False,ridge,2,3,6,alpha=0.01
plain,False,lasso,2,3,6,alpha=0.001
plain,False,ridge,2,4,4,alpha=0.1
plain,False,lasso,2,4,4,alpha=0.001
plain,False,ridge,3,0,6,alpha=1.0
plain,False,lasso,3,0,6,alpha=0.001
plain,False,ridge,3,1,7,alpha=10.0
plain,False,lasso,3,1,7,alpha=0.01
plain,False,ridge,3,2,3,alpha=0.01
plain,False,lasso,3,2,7,alpha=0.01
plain,False,ridge,3,3,5,alpha=0.01
plain,False,lasso,3,3,5,alpha=0.001
plain,False,ridge,3,4,9,alpha=0.1
plain,False,lasso,3,4,9,alpha=0.001
plain,False,ridge,4,0,9,alpha=0.1
plain,False,lasso,4,0,10,alpha=0.01
plain,False,ridge,4,1,6,alpha=1.0
plain,False,lasso,4,1,8,alpha=0.01
plain,False,ridge,4,2,3,alpha=0.1
plain,False,lasso,4,2,3,alpha=0.001
plain,False,ridge,4,3,2,alpha=0.01
plain,False,lasso,4,3,3,alpha=0.01
plain,False,ridge,4,4,6,alpha=0.1
plain,False,lasso,4,4,6,alpha=0.001
plain,False,ridge,5,0,2,alpha=1.0
plain,False,lasso,5,0,3,alpha=0.01
plain,False,ridge,5,1,5,alpha=1.0
plain,False,lasso,5,1,5,alpha=0.001
plain,False,ridge,5,2,7,alpha=1.0
plain,False,lasso,5,2,7,alpha=0.001
plain,False,ridge,5,3,9,alpha=10.0
plain,False,lasso,5,3,4,alpha=0.01
plain,False,ridge,5,4,4,alpha=0.01
plain,False,lasso,5,4,6,alpha=0.001
plain,False,ridge,6,0,8,alpha=0.01
plain,False,lasso,6,0,8,alpha=0.001
plain,False,ridge,6,1,9,alpha=0.1
plain,False,lasso,6,1,9,alpha=0.001
plain,False,ridge,6,2,4,alpha=0.01
plain,False,lasso,6,2,4,alpha=0.001
plain,False,ridge,6,3,9,alpha=0.01
plain,False,lasso,6,3,9,alpha=0.001
plain,False,ridge,6,4,3,alpha=0.1
plain,False,lasso,6,4,3,alpha=0.01
plain,False,ridge,7,0,9,alpha=0.01
plain,False,lasso,7,0,4,alpha=0.001
plain,False,ridge,7,1,10,alpha=10.0
plain,False,lasso,7,1,2,alpha=0.01
plain,False,ridge,7,2,8,alpha=1.0
plain,False,lasso,7,2,8,alpha=0.001
plain,False,ridge,7,3,9,alpha=1.0
plain,False,lasso,7,3,9,alpha=0.001
plain,False,ridge,7,4,3,alpha=1.0
plain,False,lasso,7,4,4,alpha=0.001
plain,False,ridge,8,0,5,alpha=0.1
plain,False,lasso,8,0,5,alpha=0.001
plain,False,ridge,8,1,10,alpha=10.0
plain,False,lasso,8,1,8,alpha=0.01
plain,False,ridge,8,2,3,alpha=0.01
plain,False,lasso,8,2,3,alpha=0.001
plain,False,ridge,8,3,4,alpha=0.1
plain,False,lasso,8,3,4,alpha=0.001
plain,False,ridge,8,4,6,alpha=0.01
plain,False,lasso,8,4,6,alpha=0.001
plain,False,ridge,9,0,10,alpha=0.01
plain,False,lasso,9,0,10,alpha=0.01
plain,False,ridge,9,1,3,alpha=0.01
plain,False,lasso,9,1,2,alpha=0.001
plain,False,ridge,9,2,9,alpha=1.0
plain,False,lasso,9,2,9,alpha=0.001
plain,False,ridge,9,3,3,alpha=1.0
plain,False,lasso,9,3,3,alpha=0.01
plain,False,ridge,9,4,10,alpha=0.1
plain,False,lasso,9,4,10,alpha=0.001
donor_grouped,False,ridge,0,0,4,alpha=0.01
donor_grouped,False,lasso,0,0,4,alpha=0.001
donor_grouped,False,ridge,0,1,4,alpha=0.01
donor_grouped,False,lasso,0,1,10,alpha=0.01
donor_grouped,False,ridge,0,2,3,alpha=10.0
donor_grouped,False,lasso,0,2,5,alpha=0.001
donor_grouped,False,ridge,0,3,4,alpha=0.01
donor_grouped,False,lasso,0,3,4,alpha=0.001
donor_grouped,False,ridge,0,4,2,alpha=0.01
donor_grouped,False,lasso,0,4,2,alpha=0.001
donor_grouped,False,ridge,1,0,4,alpha=0.01
donor_grouped,False,lasso,1,0,4,alpha=0.001
donor_grouped,False,ridge,1,1,6,alpha=1.0
donor_grouped,False,lasso,1,1,6,alpha=0.001
donor_grouped,False,ridge,1,2,8,alpha=1.0
donor_grouped,False,lasso,1,2,8,alpha=0.001
donor_grouped,False,ridge,1,3,3,alpha=1.0
donor_grouped,False,lasso,1,3,3,alpha=0.001
donor_grouped,False,ridge,1,4,2,alpha=0.01
donor_grouped,False,lasso,1,4,2,alpha=0.001
donor_grouped,False,ridge,2,0,4,alpha=0.01
donor_grouped,False,lasso,2,0,4,alpha=0.001
donor_grouped,False,ridge,2,1,5,alpha=0.01
donor_grouped,False,lasso,2,1,7,alpha=0.01
donor_grouped,False,ridge,2,2,10,alpha=1.0
donor_grouped,False,lasso,2,2,10,alpha=0.001
donor_grouped,False,ridge,2,3,3,alpha=0.01
donor_grouped,False,lasso,2,3,2,alpha=0.01
donor_grouped,False,ridge,2,4,5,alpha=0.1
donor_grouped,False,lasso,2,4,5,alpha=0.001
donor_grouped,False,ridge,3,0,8,alpha=1.0
donor_grouped,False,lasso,3,0,8,alpha=0.001
donor_grouped,False,ridge,3,1,9,alpha=1.0
donor_grouped,False,lasso,3,1,10,alpha=0.01
donor_grouped,False,ridge,3,2,6,alpha=1.0
donor_grouped,False,lasso,3,2,5,alpha=0.001
donor_grouped,False,ridge,3,3,3,alpha=0.01
donor_grouped,False,lasso,3,3,2,alpha=0.01
donor_grouped,False,ridge,3,4,6,alpha=1.0
donor_grouped,False,lasso,3,4,3,alpha=0.01
donor_grouped,False,ridge,4,0,8,alpha=1.0
donor_grouped,False,lasso,4,0,8,alpha=0.001
donor_grouped,False,ridge,4,1,5,alpha=0.01
donor_grouped,False,lasso,4,1,5,alpha=0.001
donor_grouped,False,ridge,4,2,4,alpha=0.1
donor_grouped,False,lasso,4,2,4,alpha=0.001
donor_grouped,False,ridge,4,3,5,alpha=0.01
donor_grouped,False,lasso,4,3,5,alpha=0.001
donor_grouped,False,ridge,4,4,3,alpha=0.01
donor_grouped,False,lasso,4,4,3,alpha=0.001
donor_grouped,False,ridge,5,0,8,alpha=1.0
donor_grouped,False,lasso,5,0,8,alpha=0.001
donor_grouped,False,ridge,5,1,4,alpha=0.1
donor_grouped,False,lasso,5,1,4,alpha=0.001
donor_grouped,False,ridge,5,2,5,alpha=0.1
donor_grouped,False,lasso,5,2,5,alpha=0.001
donor_grouped,False,ridge,5,3,6,alpha=1.0
donor_grouped,False,lasso,5,3,6,alpha=0.001
donor_grouped,False,ridge,5,4,6,alpha=0.01
donor_grouped,False,lasso,5,4,6,alpha=0.001
donor_grouped,False,ridge,6,0,8,alpha=1.0
donor_grouped,False,lasso,6,0,6,alpha=0.001
donor_grouped,False,ridge,6,1,3,alpha=0.01
donor_grouped,False,lasso,6,1,3,alpha=0.001
donor_grouped,False,ridge,6,2,8,alpha=1.0
donor_grouped,False,lasso,6,2,8,alpha=0.001
donor_grouped,False,ridge,6,3,6,alpha=0.01
donor_grouped,False,lasso,6,3,7,alpha=0.001
donor_grouped,False,ridge,6,4,2,alpha=0.01
donor_grouped,False,lasso,6,4,2,alpha=0.001
donor_grouped,False,ridge,7,0,8,alpha=1.0
donor_grouped,False,lasso,7,0,6,alpha=0.001
donor_grouped,False,ridge,7,1,10,alpha=1.0
donor_grouped,False,lasso,7,1,10,alpha=0.001
donor_grouped,False,ridge,7,2,8,alpha=1.0
donor_grouped,False,lasso,7,2,8,alpha=0.001
donor_grouped,False,ridge,7,3,5,alpha=1.0
donor_grouped,False,lasso,7,3,5,alpha=0.001
donor_grouped,False,ridge,7,4,3,alpha=0.01
donor_grouped,False,lasso,7,4,3,alpha=0.01
donor_grouped,False,ridge,8,0,8,alpha=1.0
donor_grouped,False,lasso,8,0,8,alpha=0.001
donor_grouped,False,ridge,8,1,6,alpha=1.0
donor_grouped,False,lasso,8,1,6,alpha=0.001
donor_grouped,False,ridge,8,2,6,alpha=1.0
donor_grouped,False,lasso,8,2,6,alpha=0.001
donor_grouped,False,ridge,8,3,6,alpha=0.01
donor_grouped,False,lasso,8,3,7,alpha=0.001
donor_grouped,False,ridge,8,4,6,alpha=0.01
donor_grouped,False,lasso,8,4,6,alpha=0.001
donor_grouped,False,ridge,9,0,6,alpha=1.0
donor_grouped,False,lasso,9,0,6,alpha=0.001
donor_grouped,False,ridge,9,1,7,alpha=0.01
donor_grouped,False,lasso,9,1,6,alpha=0.001
donor_grouped,False,ridge,9,2,6,alpha=1.0
donor_grouped,False,lasso,9,2,5,alpha=0.001
donor_grouped,False,ridge,9,3,2,alpha=0.01
donor_grouped,False,lasso,9,3,2,alpha=0.01
donor_grouped,False,ridge,9,4,6,alpha=1.0
donor_grouped,False,lasso,9,4,3,alpha=0.01
loco,False,ridge,0,0,5,alpha=0.01
loco,False,lasso,0,0,5,alpha=0.001
loco,False,ridge,0,1,8,alpha=1.0
loco,False,lasso,0,1,5,alpha=0.001
loco,False,ridge,0,2,9,alpha=1.0
loco,False,lasso,0,2,8,alpha=0.001
loco,False,ridge,0,3,8,alpha=1.0
loco,False,lasso,0,3,6,alpha=0.001
loco,False,ridge,0,4,4,alpha=0.01
loco,False,lasso,0,4,3,alpha=0.01
loco,False,ridge,0,5,8,alpha=1.0
loco,False,lasso,0,5,6,alpha=0.001
loco,False,ridge,0,6,9,alpha=1.0
loco,False,lasso,0,6,6,alpha=0.001
loco,False,ridge,0,7,9,alpha=1.0
loco,False,lasso,0,7,9,alpha=0.001
loco,False,ridge,0,8,6,alpha=1.0
loco,False,lasso,0,8,6,alpha=0.001
loco,False,ridge,0,9,6,alpha=1.0
loco,False,lasso,0,9,6,alpha=0.001
loco,False,ridge,0,10,6,alpha=1.0
loco,False,lasso,0,10,6,alpha=0.001
loco,False,ridge,0,11,6,alpha=1.0
loco,False,lasso,0,11,6,alpha=0.001
loco,False,ridge,0,12,6,alpha=1.0
loco,False,lasso,0,12,4,alpha=0.01
loco,False,ridge,0,13,6,alpha=1.0
loco,False,lasso,0,13,3,alpha=0.01
loco,False,ridge,0,14,6,alpha=1.0
loco,False,lasso,0,14,3,alpha=0.01
loco,False,ridge,0,15,6,alpha=1.0
loco,False,lasso,0,15,3,alpha=0.01
loco,False,ridge,0,16,6,alpha=1.0
loco,False,lasso,0,16,3,alpha=0.01
loco,False,ridge,0,17,6,alpha=1.0
loco,False,lasso,0,17,3,alpha=0.01
loco,False,ridge,0,18,6,alpha=1.0
loco,False,lasso,0,18,3,alpha=0.01
loco,False,ridge,0,19,4,alpha=0.01
loco,False,lasso,0,19,3,alpha=0.01
loco,False,ridge,0,20,8,alpha=1.0
loco,False,lasso,0,20,3,alpha=0.01
loco,False,ridge,0,21,6,alpha=1.0
loco,False,lasso,0,21,3,alpha=0.01
loco,False,ridge,0,22,4,alpha=0.1
loco,False,lasso,0,22,3,alpha=0.01
loco,False,ridge,0,23,6,alpha=1.0
loco,False,lasso,0,23,3,alpha=0.01
loco,False,ridge,0,24,7,alpha=1.0
loco,False,lasso,0,24,3,alpha=0.01
loco,False,ridge,0,25,4,alpha=1.0
loco,False,lasso,0,25,3,alpha=0.01
loco,False,ridge,0,26,4,alpha=1.0
loco,False,lasso,0,26,3,alpha=0.01
loco,False,ridge,0,27,8,alpha=1.0
loco,False,lasso,0,27,3,alpha=0.01
loco,False,ridge,0,28,6,alpha=1.0
loco,False,lasso,0,28,3,alpha=0.01
loco,False,ridge,0,29,4,alpha=1.0
loco,False,lasso,0,29,3,alpha=0.01
loco,False,ridge,0,30,4,alpha=1.0
loco,False,lasso,0,30,3,alpha=0.01
loco,False,ridge,0,31,4,alpha=0.1
loco,False,lasso,0,31,3,alpha=0.01
loco,False,ridge,0,32,4,alpha=0.1
loco,False,lasso,0,32,3,alpha=0.01
loco,False,ridge,0,33,6,alpha=1.0
loco,False,lasso,0,33,3,alpha=0.01
loco,False,ridge,0,34,8,alpha=1.0
loco,False,lasso,0,34,3,alpha=0.01
loco,False,ridge,0,35,6,alpha=1.0
loco,False,lasso,0,35,4,alpha=0.01
loco,False,ridge,0,36,8,alpha=1.0
loco,False,lasso,0,36,3,alpha=0.01
loco,False,ridge,0,37,4,alpha=0.01
loco,False,lasso,0,37,3,alpha=0.01
loco,False,ridge,0,38,4,alpha=0.1
loco,False,lasso,0,38,3,alpha=0.01
loco,False,ridge,0,39,6,alpha=1.0
loco,False,lasso,0,39,3,alpha=0.01
loco,False,ridge,0,40,4,alpha=0.01
loco,False,lasso,0,40,3,alpha=0.01
loco,False,ridge,0,41,6,alpha=1.0
loco,False,lasso,0,41,3,alpha=0.01
loco,False,ridge,0,42,6,alpha=1.0
loco,False,lasso,0,42,3,alpha=0.01
loco,False,ridge,0,43,4,alpha=0.1
loco,False,lasso,0,43,3,alpha=0.01
loco,False,ridge,0,44,4,alpha=0.1
loco,False,lasso,0,44,3,alpha=0.01
loco,False,ridge,0,45,4,alpha=0.1
loco,False,lasso,0,45,5,alpha=0.01
loco,False,ridge,0,46,4,alpha=0.01
loco,False,lasso,0,46,5,alpha=0.001
loco,False,ridge,0,47,4,alpha=0.1
loco,False,lasso,0,47,4,alpha=0.01
loco,False,ridge,0,48,6,alpha=1.0
loco,False,lasso,0,48,5,alpha=0.001
loco,False,ridge,0,49,6,alpha=1.0
