cell_line,D30_DA,D30_Sert,D30_S,D52_DA,D52_DA_Sert
HPSI0114i-eipl_1,0.01968351987649556,0.005403319181783096,0.025086839058278656,0.014279238440616501,0.01745240253853128
HPSI0114i-wegi_1,0.31243831249992665,0.5200645012129186,0.8325028137128452,0.32859440261172107,0.8990788157121741
HPSI0115i-aion_2,0.5524044389642416,0.2466091245376079,0.7990135635018495,0.3225806451612903,0.6971326164874552
HPSI0115i-aoxv_1,0.08423467715503113,0.12225499836119305,0.20648967551622419,0.09125914516750096,0.2152483634963419
HPSI0115i-bimq_4,0.18181818181818182,0.0371900826446281,0.2190082644628099,0.050100200400801605,0.0841683366733467
HPSI0115i-boqx_2,0.25,0.22580645161290322,0.47580645161290325,0.16428571428571428,0.37857142857142856
HPSI0115i-gifk_1,0.5051020408163265,0.2653061224489796,0.7704081632653061,0.2571428571428571,0.6342857142857143
HPSI0115i-gost_2,0.6404217926186292,0.281195079086116,0.9216168717047453,0.6044821320411872,0.7843731072077529
HPSI0115i-hecn_6,0.430685160864189,0.18447347603357833,0.6151586368977673,0.2202868946033737,0.34937525939952246
HPSI0115i-iiyk_2,0.3915343915343915,0.2857142857142857,0.6772486772486772,0.3504273504273504,0.6666666666666666
HPSI0115i-iuad_2,0.20262919310970082,0.5861287398005439,0.7887579329102448,0.13358646876078703,0.8960994131860546
HPSI0115i-jakt_1,0.2274216190921853,0.5737014506317267,0.801123069723912,0.07279364397680911,0.8136139145372557
HPSI0115i-paim_1,0.4229198570699336,0.3925472179683512,0.8154670750382849,0.33984375,0.6169483418367347
HPSI0115i-quze_6,0.12919463087248323,0.21476510067114093,0.34395973154362414,0.07371794871794872,0.3653846153846154
HPSI0115i-sehp_2,0.7265625,0.09765625,0.82421875,0.7131242740998839,0.8048780487804879
HPSI0115i-tiku_3,0.0947867298578199,0.1990521327014218,0.2938388625592417,0.06015037593984962,0.2932330827067669
HPSI0115i-uupc_2,0.46774193548387094,0.15053763440860216,0.6182795698924731,0.48314606741573035,0.6741573033707865
HPSI0115i-zihe_1,0.005917159763313609,0.047337278106508875,0.05325443786982249,0.009708737864077669,0.009708737864077669
HPSI0214i-datg_2,0.42776801405975395,0.20527240773286468,0.6330404217926187,0.23996584116140052,0.4474807856532878
HPSI0214i-eiwy_1,0.42738589211618255,0.36929460580912865,0.7966804979253113,0.11868131868131868,0.6505494505494506
HPSI0214i-feec_2,0.17897524928774927,0.025574252136752136,0.2045495014245014,0.05886016817190906,0.05886016817190906
HPSI0214i-giju_3,0.330835734870317,0.45187319884726224,0.7827089337175792,0.17369727047146402,0.7965260545905707
HPSI0214i-heth_1,0.015100671140939598,0.02348993288590604,0.03859060402684564,0.020594965675057208,0.02745995423340961
HPSI0214i-pelm_3,0.46883979234576845,0.34674785705662203,0.8155876494023905,0.18918847649812115,0.609007771698127
HPSI0214i-poih_2,0.5695287655391732,0.23590633130962707,0.8054350968488002,0.5590986394557823,0.7380952380952381
HPSI0214i-rayr_1,0.8172888015717092,0.08644400785854617,0.9037328094302555,0.5501618122977346,0.7087378640776699
HPSI0215i-deyz_2,0.31564604039756333,0.3284706636742546,0.6441167040718179,0.2507235890014472,0.5971418234442837
HPSI0215i-fawm_2,0.49476987447698745,0.4341004184100418,0.9288702928870293,0.3054393305439331,0.793584379358438
HPSI0215i-hipn_1,0.4242909979622768,0.1123407060082651,0.5366317039705419,0.2769058295964126,0.41518958792156446
HPSI0215i-oilg_1,0.07537361923326835,0.01299545159194282,0.08836907082521117,0.05901116427432217,0.08293460925039872
HPSI0215i-romx_1,0.05277973258268825,0.03518648838845883,0.08796622097114708,0.053809270111880664,0.07831646244006393
HPSI0215i-uiao_2,0.20563230605738575,0.2784272051009564,0.48405951115834217,0.13857998289136014,0.3361847733105218
HPSI0215i-yoch_6,0.018113207547169812,0.027924528301886794,0.046037735849056606,0.02148997134670487,0.03868194842406877
HPSI0215i-zett_5,0.1025792716643684,0.551570829761681,0.6541501014260495,0.051653071695459976,0.841269011779405
HPSI0314i-bubh_3,0.01935812531839022,0.015792154865002548,0.035150280183392765,0.04770992366412214,0.06870229007633588
HPSI0314i-cuhk_2,0.36188023180940115,0.11526078557630393,0.4771410173857051,0.11141181777176365,0.16599007668019847
HPSI0314i-hoik_1,0.023616236162361623,0.011808118081180811,0.035424354243542434,0.06940371456500488,0.07917888563049853
HPSI0314i-qaqx_1,0.2863787375415282,0.393687707641196,0.6800664451827242,0.2801841560422796,0.6225345973629726
HPSI0314i-sojd_3,0.12821527594554688,0.02788732589949037,0.15610260184503724,0.07810606060606061,0.09658307210031349
HPSI0314i-uict_1,0.24581005586592178,0.39664804469273746,0.6424581005586593,0.16666666666666666,0.5729166666666666
HPSI0314i-xagu_1,0.22972972972972974,0.40540540540540543,0.6351351351351352,0.06896551724137931,0.48275862068965514
HPSI0314i-xugn_2,0.0248728094968909,0.009609949123798756,0.034482758620689655,0.02865995352439969,0.041053446940356314
HPSI0414i-ceik_1,0.19411764705882353,0.04411764705882353,0.23823529411764707,0.1,0.14090909090909093
HPSI0414i-gesg_2,0.07419354838709677,0.01935483870967742,0.09354838709677418,0.04895104895104895,0.06993006993006994
HPSI0414i-mita_1,0.029591214154972543,0.0071690054911531425,0.036760219646125684,0.01328986960882648,0.017928786359077232
HPSI0414i-oaqd_2,0.04583333333333333,0.0020833333333333333,0.04791666666666666,0.021929824561403508,0.021929824561403508
HPSI0414i-sebn_3,0.4473684210526316,0.27392344497607657,0.7212918660287082,0.2360248447204969,0.4278812974465148
HPSI0414i-uawq_2,0.13167835941716136,0.44846195358877494,0.5801403130059363,0.08876881512929372,0.6321883442686221
HPSI0414i-xojn_3,0.6170521817332069,0.16178798028579924,0.7788401620190061,0.5289510006901311,0.7174833218311479
HPSI0513i-dipe_1,0.3875,0.4,0.7875000000000001,0.3136842105263158,0.848421052631579
HPSI0513i-fejf_2,0.30927835051546393,0.061855670103092786,0.3711340206185567,0.2478813559322034,0.2754237288135593
HPSI0513i-giuf_1,0.6764705882352942,0.029411764705882353,0.7058823529411765,0.7416666666666667,0.7666666666666667
HPSI0513i-momt_2,0.44375,0.15625,0.6,0.38653084323712505,0.5597057159026598
HPSI0513i-oibg_1,0.024096385542168676,0.012048192771084338,0.03614457831325302,0.07019328585961343,0.07121057985757884
HPSI0513i-sucd_3,0.6532258064516129,0.18548387096774194,0.8387096774193548,0.4974182444061962,0.8743545611015491
HPSI0513i-uoxz_4,0.7027027027027027,0.19594594594594594,0.8986486486486487,0.6226685796269728,0.8450502152080345
HPSI0513i-veve_2,0.6958333333333333,0.0875,0.7833333333333333,0.7190860215053764,0.7338709677419355
HPSI0514i-fiaj_1,0.19042275180602347,0.022911547902413315,0.2133342997084368,0.0806708584312553,0.08154707543752576
HPSI0514i-lako_1,0.42430617534578513,0.3529759950427058,0.7772821703884909,0.18351851768927674,0.8200329780517185
HPSI0514i-naah_2,0.5424610051993067,0.37435008665511266,0.9168110918544194,0.46130952380952384,0.8660714285714286
HPSI0514i-oekw_2,0.1567489114658926,0.16545718432510886,0.32220609579100146,0.10533159947984395,0.2834850455136541
HPSI0514i-oupf_6,0.6219119226638024,0.1364124597207304,0.7583243823845327,0.4645669291338583,0.6181102362204725
HPSI0514i-qihv_1,0.05807814149947202,0.1805702217529039,0.23864836325237593,0.03288201160541586,0.21083172147001933
HPSI0514i-rutc_2,0.5842956120092379,0.31986143187066973,0.9041570438799076,0.46078431372549017,0.8954248366013071
HPSI0514i-sohd_2,0.5800492610837439,0.1933497536945813,0.7733990147783252,0.4376321353065539,0.6976744186046512
HPSI0514i-suul_1,0.02666666666666667,0.48,0.5066666666666666,0.012345679012345678,0.691358024691358
HPSI0514i-tert_1,0.17843583902809415,0.5808656036446469,0.759301442672741,0.08678102926337034,0.7911200807265388
HPSI0514i-uenn_3,0.24858260019550343,0.3026197458455523,0.5512023460410558,0.11695741551277117,0.3477096628864841
HPSI0514i-wiii_3,0.027890985224430433,0.009188582296486307,0.03707956752091674,0.023558896304713795,0.030024675326248515
HPSI0514i-yewo_4,0.14468085106382977,0.6851063829787234,0.8297872340425532,0.07065750736015702,0.8508341511285573
HPSI0613i-aevs_1,0.10854503464203233,0.011547344110854504,0.12009237875288684,0.12434417628541448,0.12644281217208814
HPSI0613i-bawa_1,0.5444444444444444,0.31666666666666665,0.861111111111111,0.2797761790567546,0.8816946442845723
HPSI0613i-bohf_1,0.7364016736401674,0.07112970711297072,0.8075313807531381,0.5226537216828478,0.5606796116504854
HPSI0613i-eojr_2,0.8461538461538461,0.07692307692307693,0.9230769230769231,0.6739130434782609,0.8043478260869565
HPSI0613i-hegp_3,0.38461538461538464,0.3230769230769231,0.7076923076923077,0.3148148148148148,0.7518518518518519
HPSI0613i-hikj_2,0.39705882352941174,0.47058823529411764,0.8676470588235294,0.25806451612903225,0.9173387096774194
HPSI0613i-lizq_3,0.6031746031746031,0.1111111111111111,0.7142857142857142,0.49851632047477745,0.5578635014836796
HPSI0614i-juzt_4,0.14270941054808686,0.047569803516028956,0.19027921406411583,0.10480693459416864,0.11662726556343578
