cell_line,dopa_eff_neuron_denom,dopa_share_of_target,authors_diff_eff
HPSI0114i-eipl_1,0.07733224222585924,0.8181818181818182,0.017452402538531277
HPSI0114i-wegi_1,0.3405440301120448,0.37296037296037293,0.8990788157121742
HPSI0115i-aion_2,0.4433497536945813,0.46272493573264784,0.6971326164874552
HPSI0115i-aoxv_1,0.3224489795918367,0.42397137745974955,0.21524836349634194
HPSI0115i-bimq_4,0.24630541871921183,0.5952380952380952,0.0841683366733467
HPSI0115i-boqx_2,0.38333333333333336,0.4339622641509434,0.37857142857142856
HPSI0115i-gifk_1,0.39823008849557523,0.40540540540540543,0.6342857142857142
HPSI0115i-gost_2,0.72953216374269,0.7706563706563706,0.7843731072077529
HPSI0115i-hecn_6,0.5828715775749674,0.6525441618536156,0.3493752593995224
HPSI0115i-iiyk_2,0.4823529411764706,0.5256410256410257,0.6666666666666666
HPSI0115i-iuad_2,0.1460377358490566,0.14907550077041604,0.8960994131860546
HPSI0115i-jakt_1,0.08441235059760956,0.0894695170229612,0.8136139145372557
HPSI0115i-melw_1,0.8,0.8,0.8333333333333334
HPSI0115i-paim_1,0.5153529980657641,0.5508463625791445,0.6169483418367347
HPSI0115i-qecv_2,0.3333333333333333,0.4,0.625
HPSI0115i-quze_6,0.1796875,0.20175438596491227,0.36538461538461536
HPSI0115i-sehp_2,0.8623595505617978,0.886002886002886,0.8048780487804879
HPSI0115i-tiku_3,0.18604651162790697,0.20512820512820512,0.2932330827067669
HPSI0115i-uupc_2,0.6615384615384615,0.7166666666666667,0.6741573033707865
HPSI0115i-zihe_1,0.16666666666666666,1.0,0.009708737864077669
HPSI0214i-datg_2,0.5174953959484346,0.5362595419847328,0.4474807856532878
HPSI0214i-eiwy_1,0.17034700315457413,0.18243243243243243,0.6505494505494506
HPSI0214i-feec_2,0.23774509803921567,1.0,0.05886016817190906
HPSI0214i-giju_3,0.20250723240115717,0.21806853582554517,0.7965260545905707
HPSI0214i-heth_1,0.42857142857142855,0.75,0.02745995423340961
