cell_line,da_over_all,sert_over_all,da_sert_over_all,n_cells
HPSI0114i-eipl_1,0.014279238440616501,0.003173164097914778,0.017452402538531277,13236.0
HPSI0114i-wegi_1,0.32859440261172107,0.5704844131004531,0.8990788157121742,1306.5
HPSI0115i-aion_2,0.3225806451612903,0.37455197132616486,0.6971326164874552,558.0
HPSI0115i-aoxv_1,0.09125914516750096,0.12398921832884097,0.21524836349634194,2597.0
HPSI0115i-bimq_4,0.050100200400801605,0.03406813627254509,0.0841683366733467,998.0
HPSI0115i-boqx_2,0.16428571428571428,0.21428571428571427,0.37857142857142856,140.0
HPSI0115i-gifk_1,0.2571428571428571,0.37714285714285717,0.6342857142857142,175.0
HPSI0115i-gost_2,0.6044821320411872,0.17989097516656571,0.7843731072077529,1651.0
HPSI0115i-hecn_6,0.2202868946033737,0.12908836479614877,0.3493752593995224,1043.0
HPSI0115i-iiyk_2,0.3504273504273504,0.3162393162393162,0.6666666666666666,117.0
HPSI0115i-iuad_2,0.13358646876078703,0.7625129444252675,0.8960994131860546,2897.0
HPSI0115i-jakt_1,0.07279364397680911,0.7408202705604466,0.8136139145372557,4657.0
HPSI0115i-melw_1,0.6666666666666666,0.16666666666666666,0.8333333333333334,6.0
HPSI0115i-paim_1,0.33984375,0.2771045918367347,0.6169483418367347,12544.0
HPSI0115i-qecv_2,0.25,0.375,0.625,8.0
HPSI0115i-quze_6,0.07371794871794872,0.2916666666666667,0.36538461538461536,312.0
HPSI0115i-sehp_2,0.7131242740998839,0.09175377468060394,0.8048780487804879,861.0
HPSI0115i-tiku_3,0.06015037593984962,0.23308270676691728,0.2932330827067669,133.0
HPSI0115i-uupc_2,0.48314606741573035,0.19101123595505617,0.6741573033707865,89.0
HPSI0115i-zihe_1,0.009708737864077669,0.0,0.009708737864077669,103.0
HPSI0214i-datg_2,0.23996584116140052,0.2075149444918873,0.4474807856532878,1171.0
HPSI0214i-eiwy_1,0.11868131868131868,0.5318681318681319,0.6505494505494506,455.0
HPSI0214i-feec_2,0.05886016817190906,0.0,0.05886016817190906,521.5
