feature,univariate_spearman,coefficient,regularized_to_zero,selection_frequency,loco_delta,loco_note,permutation_delta,permutation_note,shap_mean_abs,technical_covariate_eta2,technical_covariate_label
phat_FPP,0.1761,0.0238,False,1.0,0.0007,individual,0.0206,grouped (all proportions permuted together),0.0172,0.761,High (pool-associated)
phat_NB,-0.6104,-0.0368,False,1.0,0.0006,individual,0.0206,grouped (all proportions permuted together),0.0286,0.035,Low
phat_P_FPP,0.3067,reference (=1-FPP-NB),,,0.0015,grouped (FPP+NB dropped together),0.0206,grouped (all proportions permuted together),,0.658,High (pool-associated)
PC1,0.556,0.0067,False,1.0,-0.0008,individual,0.0012,individual,0.0051,0.472,Moderate
PC2,-0.716,-0.041,False,1.0,0.0017,individual,0.0178,individual,0.0335,0.114,Low
PC3,0.6968,0.0897,False,1.0,0.0078,individual,0.0355,individual,0.0724,0.832,High (pool-associated)
PC4,0.2991,-0.0273,False,1.0,0.0008,individual,0.0051,individual,0.0219,0.506,High (pool-associated)
PC5,0.3137,0.0143,False,1.0,-0.0008,individual,0.0034,individual,0.0103,0.85,High (pool-associated)
PC6,-0.1904,0.0114,False,1.0,0.0009,individual,0.0015,individual,0.0094,0.79,High (pool-associated)
PC7,0.0146,-0.019,False,1.0,0.0006,individual,0.0028,individual,0.0122,0.85,High (pool-associated)
