gene,gene_index,PC,loading,abs_loading,signed_rank,pole
PCBP4,5941,PC2,0.1252709528887551,0.1252709528887551,2000.0,positive
TAGLN3,6265,PC2,0.1248667073059609,0.1248667073059609,1999.0,positive
FAM57B,25189,PC2,0.123305194869684,0.123305194869684,1998.0,positive
ELAVL3,29850,PC2,0.1176654257987746,0.1176654257987746,1997.0,positive
TUBA1A,20638,PC2,0.1159767340954579,0.1159767340954579,1996.0,positive
SCG3,23878,PC2,0.115800636939909,0.115800636939909,1995.0,positive
NHLH1,2190,PC2,0.1156223227091998,0.1156223227091998,1994.0,positive
NEUROD1,4798,PC2,0.1148567071764932,0.1148567071764932,1993.0,positive
STMN2,15014,PC2,0.1131152022819873,0.1131152022819873,1992.0,positive
TUBB2B,10204,PC2,0.1068286087934812,0.1068286087934812,1991.0,positive
DLL3,30573,PC2,0.1066596166036579,0.1066596166036579,1990.0,positive
STMN1,544,PC2,0.100017251775138,0.100017251775138,1989.0,positive
MAP1B,9027,PC2,0.0999104599443586,0.0999104599443586,1988.0,positive
SEPT4,27419,PC2,0.0998839649714231,0.0998839649714231,1987.0,positive
MFNG,31954,PC2,0.0933778060458805,0.0933778060458805,1986.0,positive
SH3BGRL3,556,PC2,0.0924900804330261,0.0924900804330261,1985.0,positive
ONECUT2,28365,PC2,0.0917967597439113,0.0917967597439113,1984.0,positive
MLLT11,1858,PC2,0.0896484304397726,0.0896484304397726,1983.0,positive
FAM110A,28580,PC2,0.0870819273515587,0.0870819273515587,1982.0,positive
ST18,14797,PC2,0.0863702526993843,0.0863702526993843,1981.0,positive
NKAIN4,29339,PC2,0.08540912145382,0.08540912145382,1980.0,positive
BAALC,15243,PC2,0.0849329381626978,0.0849329381626978,1979.0,positive
CRABP1,24239,PC2,0.0827283679721678,0.0827283679721678,1978.0,positive
INA,17868,PC2,0.0821592951338095,0.0821592951338095,1977.0,positive
ELAVL4,988,PC2,0.0820077344681875,0.0820077344681875,1976.0,positive
GPC3,14051,PC2,-0.0685050542548826,0.0685050542548826,1.0,negative
ARL4A,11949,PC2,-0.0548498464172125,0.0548498464172125,2.0,negative
HES1,7051,PC2,-0.0541884493390109,0.0541884493390109,3.0,negative
PLEKHA5,20377,PC2,-0.0533774966544416,0.0533774966544416,4.0,negative
RPS4X,13731,PC2,-0.0483513341919507,0.0483513341919507,5.0,negative
CAPN6,13925,PC2,-0.047206897641555,0.047206897641555,6.0,negative
TPM2,15892,PC2,-0.0468613222675696,0.0468613222675696,7.0,negative
ZNF503,17533,PC2,-0.0456899747336095,0.0456899747336095,8.0,negative
TMA7,5830,PC2,-0.0451563898885633,0.0451563898885633,9.0,negative
FRZB,4806,PC2,-0.0442587430255366,0.0442587430255366,10.0,negative
ADSS,3112,PC2,-0.0438786127181043,0.0438786127181043,11.0,negative
HMGN1,32526,PC2,-0.043739857079317,0.043739857079317,12.0,negative
KIAA0101,24010,PC2,-0.0434477812153931,0.0434477812153931,13.0,negative
PRDX6,2373,PC2,-0.0417678091177815,0.0417678091177815,14.0,negative
ARHGAP29,1376,PC2,-0.0411568441728314,0.0411568441728314,15.0,negative
UGDH,7462,PC2,-0.040961755111249,0.040961755111249,16.0,negative
BMP4,22815,PC2,-0.0406138976126133,0.0406138976126133,17.0,negative
PPDPF,29348,PC2,-0.0404452718510928,0.0404452718510928,18.0,negative
PDIA6,3335,PC2,-0.0403830037742685,0.0403830037742685,19.0,negative
NME4,24579,PC2,-0.0395855755179205,0.0395855755179205,20.0,negative
XBP1,31786,PC2,-0.0391001048411675,0.0391001048411675,21.0,negative
NPC2,23056,PC2,-0.0383468639544202,0.0383468639544202,22.0,negative
OTX2,22847,PC2,-0.038340661284077,0.038340661284077,23.0,negative
CDH2,28179,PC2,-0.0382670457451414,0.0382670457451414,24.0,negative
HIBADH,12081,PC2,-0.0377887287873499,0.0377887287873499,25.0,negative
