model,k,param_str,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,brier_mean,brier_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
logistic_l1,0,C=0.01,0.5022073412698413,0.01025628853315412,0.6959560859283777,0.006214443681208188,0.5034970238095238,0.008315377125564603,0.5427083333333333,0.28346819026475495,0.46428571428571425,0.28488636659996136,0.5710753158030246,0.1956545283333938,0.24910022632060932,0.006940004613126579,plain,False,flat,,
logistic_l1,0,C=0.1,0.951264880952381,0.005762478597422086,0.9667213811244959,0.00828910208024408,0.893452380952381,0.005019488349473653,0.9583333333333334,0.0,0.8285714285714286,0.010038976698947249,0.9426268969126111,0.0020298590248420583,0.09037501455510707,0.0006918725687563688,plain,False,flat,,
logistic_l1,0,C=1.0,0.9472718253968253,0.004972977670842689,0.9617797609018923,0.0058567884166881665,0.8919642857142858,0.00729689505890212,0.9291666666666668,0.004392052305789391,0.8547619047619047,0.013515386004703497,0.932569463580417,0.0037869667458651714,0.06869268893344188,0.0016904310564474167,plain,False,flat,,
logistic_l1,0,C=10.0,0.9457093253968253,0.0062650400104228635,0.9607940083091421,0.007718799133156021,0.9017857142857142,0.0069089227565397714,0.925,0.004392052305789436,0.8785714285714284,0.013515386004703506,0.9352317676098332,0.003496668992616886,0.06947051863176748,0.002204477574001861,plain,False,flat,,
logistic_l1,0,C=100.0,0.9455109126984127,0.006559851838448428,0.960769778914171,0.007996126519940663,0.9024553571428571,0.007452453983321197,0.9239583333333334,0.005031728036871362,0.880952380952381,0.01587301587301589,0.9351645783601132,0.0034686307640513976,0.06964155633062957,0.002274784815001459,plain,False,flat,,
logistic_l1,1,C=0.01,0.49997519841269844,0.011695934679614143,0.6953231793792213,0.005900420234210903,0.5026785714285714,0.009134259953629455,0.5791666666666667,0.22255833955655954,0.4261904761904762,0.22206627180941693,0.6135088332977808,0.12461734481956663,0.2492579854134537,0.0044586349158638235,plain,False,flat,,
logistic_l1,1,C=0.1,0.949156746031746,0.0033254274737299786,0.9605874086869581,0.005695003457415011,0.9005952380952381,0.004721430172337583,0.9583333333333334,0.006944444444444468,0.8428571428571429,0.01229518522605525,0.9455235737221589,0.002762883423128418,0.0908981703046541,0.0008323000182684726,plain,False,flat,,
logistic_l1,1,C=1.0,0.9452380952380952,0.004151416620760617,0.9580695707902853,0.006390423201127464,0.9047619047619048,0.006873217490352647,0.9333333333333333,0.008784104611578799,0.8761904761904761,0.010038976698947244,0.9391889409387343,0.005224833995431986,0.06989016438065768,0.0020654148687635062,plain,False,flat,,
logistic_l1,1,C=10.0,0.9407986111111111,0.005818896147286317,0.9539360535862524,0.007177815547307716,0.9045386904761905,0.005179317322977895,0.928125,0.010358634645955786,0.880952380952381,0.0,0.9373752635296793,0.005544745694401433,0.07040673055177085,0.002628330567390475,plain,False,flat,,
logistic_l1,1,C=100.0,0.9404761904761905,0.00593973708554434,0.953863947316394,0.007306512158534243,0.9046875,0.006375985966319722,0.9260416666666667,0.012471031247269422,0.8833333333333334,0.0075292325242104375,0.9367395726476279,0.00646498735937649,0.07055327474952097,0.0028373337459559594,plain,False,flat,,
